m a l ʔ	m l ʔ
b l	b l
w r m	r m
ɣ p	ɣ p
k a b	k a b ɬ
p r k	p r k
k r b	k r b
r b j	r b j
b ħ r	b ħ r
j a ʕ r	w
ʃ r n	ʃ u
ɬ a ʕ p a t	ɬ p
ʃ m x	ʃ m aː x
k n	k m
l ħ ʃ	l ħ ʃ
d m	d w m
m ɬ tˤ	m u ɬ tˤ
ɬˤ b tˤ	ɬˤ b tˤ
d m m	d m m
t i b n	t i b n
ʃ b l t	ʃ u b u l a t
p r j	p r j
b a t uː l	b a t uː l
ħ r ð w n	ħ r d
ɬˤ m d	ɬˤ m d
ħ m m sˤ a t	ħ u m sˤ a t
ħ m d	ħ m d r
ʕ l j	ʕ l j
x u tˤ r	x u tˤ r
ɬ a ʕ r	ɬ a ʕ r
j d ʕ	w d ʕ
k a w k a b	k a b k a b
ʕ a m m	ʕ a m m
x tˤ m	x u tˤ m
g l ʕ	g i l ʕ
ð m r	ð m r
ʕ a r b	ʕ a
r a ʔ ʃ	r a ʔ ʃ
b w ʔ	b w ʔ
k a l	k a l
n ʃ b	n ʃ b
ħ a qˤ l	ħ a qˤ l
j a m n	j a m n
w a r iː d	w a r iː d
h ð j	h ð j
ɬ m x	ɬ m x
ʔ a r x	ʔ a r x
θ a l	θ l
b t	b t t
b k r	b k r
b qˤ l	b qˤ l
ħ z j	ħ ð j
ʃ l p p	ʃ a l a ħ p a w
p ʔ t	p i ʔ a t
ʔ a θ r	ʔ a θ a r
ʔ a z r	ʔ a z
ɬ j b t	ɬ a j b a t
d aː r	d w r
p r ɬˤ	p r ɬˤ
x r ʃ	x r ʃ
l l ʔ	l a ʔ l a ʔ
ʕ a z	ʕ z
x r p	x r p
r ħ j	r i ħ a j
ʕ a θ	ʕ θ θ
w qˤ d	w qˤ d
l w j	l w j
ʕ b qˤ	ʕ a b a qˤ
m t	m u t
ʕ ð b	ʕ ð b
ɬ a p p r	ɬ p r
p r	p a r ɣ
t x x	t x x
ɬ b a t	ɬₓ b a j
n ʃ	n ʃ
k u r k j	k u r k i j
t i h aː m t	t i h aː m
