i̠ i̠ ¹	ˀm j y̠ ¹
² ² ²	b ɛ ²
a ¹	a ¹
k a ²	tʰ u ²
dz i̠ ¹	dz e ¹
m o ¹	m o ¹
a ²	a ²
ˀx ɛ ¹	kʰ a ²
m i ²	m j a ²
dz i ³	dz i ²
¹ e ¹	n i ¹
t a ²	t a ²
d e̠ ¹	d e̠ ¹
kʰ i ²	kʰ i ²
ɣ ɨ ¹	ɣ i ¹
z i ¹	dz i ²
dʒ a ¹	dʒ e̠ ¹
kʰ o ²	kʰ o ²
n u ²	n u ²
tʃʰ e ¹	tʃʰ e ¹
ˀm j ɛ ²	ˀm ɛ ²
² a ²	v a ²
ŋ e̠ ¹	ˀn i̠ ¹
a ²	a ²
g j u ³	g o ŋ ³
p a ¹	p a ¹
t e ¹	d e ¹
t e ³	t a ³
dz e ¹	dz e ¹
ˀl o̠ ¹	ˀl o̠ ¹
t u ¹	t u ¹
s u ¹	s a ¹
kʰ ɨ ²	kʰ a ²
² o ¹	pʰ u ²
ŋ e ²	n i ²
s o ¹	s u ¹
ts ɨ ²	ts i ²
d y ¹	d y ¹
p a̠ ³	b ɨ ²
a ³	a ¹
tsʰ o̠ ¹	tʃʰ o̠ ¹
ˀx i ³	x ɨ̠ ³
¹ a ²	z a ²
z a ²	z a ²
s ɛ ²	s ɛ ²
h e̠ a ²	h e̠ ³
d e ¹	d e ¹
dʒ ɛ ¹	dʒ ɛ ¹
b y ²	b y ²
m a ³	m a ³
g a ³	g a ³
l o̠ ³	ˀl o̠ ³
ts y ³	ts y ³
m a ³	m a ³
s i̠ ¹	s i̠ ¹
u a ²	dʒ ɛ ²
g a ¹	g a ¹
m o̠ ²	m o̠ ¹
ˀm j ɛ ¹	ˀm ɛ̠ ¹
d e̠ ¹	d e̠ ¹
g j u ¹	x i ³
g a̠ ¹	g ɛ̠ ¹
b i ¹	b o ¹
b ɛ ¹	p ɛ ¹
kʰ u ³	kʰ a ŋ ²
ŋ a ²	ŋ a ²
m a ³	m a ³³
kʰ y ²	kʰ j o ²
p ɨ ¹	p ɨ ¹
ˀn e ³	n e ³
tʃ a ³	tʃ a ³
ˀn o ²	n e ²
g i ¹	g i ¹
k j ɛ ²	k j ɛ ²
¹ a ¹	pʰ j a ¹
¹ e ¹	n i̠ ¹
t e ¹	t i ¹
m e ¹	m e ¹
tsʰ e ²	tsʰ i ²
ɲ ɛ ¹	ɲ e ¹
a ¹	a ²
ŋ i ³	ˀn i ³
ɣ ɨ ³	ɣ i̠ ³
ˀm j y ²	ˀm y ²
ŋ i̠ ³	n i̠ ³
ts ɛ ³	tʃ ɛ̠ ³
ˀl u ¹	l u ³
m e̠ ³	ˀm e̠ ³
x a̠ ³	x a̠ ³
¹ a ³	j a ŋ ²
ŋ u ³	n e̠ ³
¹ ¹ ³	p e̠ ³
n i̠ ¹	n i̠ ¹
b o ²	b o ²
v e̠ ³	v e̠ ³
² i ¹	dz i ²
