q ɯ ²	ɣ ɯ̃ ²
ɣ ɯ ²	ɣ ɯ ²
ŋ o ¹	ŋ o ¹
tʰ æ ⁴	tʰ r æ ⁴
s j o ŋ ¹	ɕ o ŋ ¹
p ɯ ¹	b r i ¹
tʰ r u ²	tʰ r u ²
n o ²	p u ²
n o ²	p j o ²
q æ ⁴	q æ ⁴
k o ⁴	k o ⁴
tʰ ə ⁴	tʰ e ⁴
s j i ⁴	ɕ i ⁴
q ɯ ¹	q ɯ ¹
m e ¹	m e ¹
s r ɛ ¹	s r e ŋ ¹
ɖʐ i ⁴	ɖʐ i ⁴
q w a ⁴	q w a ⁴
ɖʐ o ⁵	ɖʐ o ³
t w e n ²	t w e n ²
sʰ w a ŋ ¹	sʰ w a ŋ ¹
k æ ⁴	k æ ⁴
s ɯ ²	sʰ r ɯ ²
s r e ²	s r ɯ ²
s r o ¹	s r e ŋ ¹
j e n ¹	j e n ¹
ts j j e n ⁵	ts j e n ⁵
x e n ¹	x e n ¹
ɣ ɔ ¹	h ɔ ¹
p j ɛ ²	p j ɛ ²
s j æ n ¹	s j æ n ¹
tʰ e ⁴	tʰ j e ⁴
ts i ²	ts i ²
s j r i ²	ɕ w i ²
ɖʐ u ŋ ⁴	ɖʐ u ŋ ⁴
ts u ŋ ²	ts u ŋ ²
d o ⁴	d r o ⁴
ɣ ɔ ²	h ɔ ³
ʈ o ⁴	d r o ⁴
tɕʰ i ¹	tɕʰ i ¹
s j e n ¹	s j e n ¹
d j æ ⁴	t æ ŋ ⁴
tsʲʰ e ¹	tsʰ j i ¹
ts i ²	ts i ²
b æ ²	pʰ a ¹
b r j æ ⁴	p r æ ⁴
q æ ¹	q æ n ¹
tsʰ j a ⁴	b r æ ⁴
j o ⁵	j ɔ ⁵
b r j a ⁴	p r a ⁴
s j i ²	s j i ²
qʰ r o ²	qʰ ɔ ²
ts j i ¹	dʑ e n ¹
d ɛ ⁴	d ɛ ⁴
kʰ ɔ ¹	qʰ o ŋ ¹
p j i ⁴	b a ŋ ⁴
k a ŋ ¹	k a ŋ ¹
tsʰ r e n ¹	tsʰ r e ŋ ¹
d j ɯ ¹	d r ɯ ³
tɕ ɯ ¹	tɕ ɯ ¹
tsʰ w a ŋ ²	tsʰ w a ŋ ²
p æ n ²	p æ n ²
sʰ w a ⁴	sʰ w a ⁴
k u ²	k u ²
ɯ̃ ²	ɯ̃ ²
s o ŋ ³	s u ŋ ³
m ɯ ¹	m ɯ ¹
tsʰ u ¹	tsʰ u ŋ ¹
ŋ w ɛ ²	ŋ w e n ²
ɣ j ɯ ²	d r ɯ ²
ŋ j o ⁴	ŋ j o ŋ ⁴
d w e ⁵	d w ɛ ⁵
s o ²	s u ŋ ²
w e n ¹	ʁ w e n ¹
pʰ j æ ¹	pʰ r æ ¹
n o ²	n o ²
n j i ²	n j i ⁴
m a ⁴	m a ⁴
ɣ o ŋ ¹	h a ŋ ⁵
ʈ u ⁴	ʈ o ⁴
tsʰ o ŋ ⁵	tsʰ o ŋ ³
ŋ ɯ ¹	ŋ ɯ ¹
l ɔ ¹	l ɔ ¹
ts r e n ¹	ts r e ŋ ¹
m ɯ ⁴	m ɯ ⁴
tɕ j æ ⁴	tɕ æ ¹
n ɔ ³	n ɔ ³
tsʰ o ŋ ¹	tsʰ o ŋ ¹
ŋ w a ⁴	ŋ w a ⁴
d o ŋ ²	d j o ŋ ²
g ɯ ¹	k ɯ ¹
