ˀtʃ a ŋ ⁴	dʒ i ŋ ³
ˀk ɛ ¹	ʃ ɛ ¹
p a ⁴	p i k ⁴
ˀk a ²	ˀp a ²
b j i ŋ ³	b r i ŋ ³
u ŋ ²	ʔ u ŋ ²
g a ŋ ²	g a ŋ ²
ˀk j ¹	n i ¹
b a ⁴	b i k ⁴
ˀk a i ⁴	ŋ a n ¹
ˀk a p ⁴	tʃ a k ⁴
ˀk a m ⁴	ˀk a m ¹
l a k ¹	l i k ⁴
d a ŋ ³	dz a ²
ˀk a i ²	ˀt a ŋ ²
ˀk a p ⁴	k a p ⁴
l a m ¹	l a m ¹
g r r a ⁴	g r a ³
g r a k ⁴	g r a k ⁴
m u ²	m u ²
ˀtʃ i ²	dz e ²
ˀŋ a p ⁴	ŋ a k ⁴
m a ¹	ˀm ai ¹
ˀk a ²	ʃ o ²
ˀk a p ⁴	j a k ⁴
k r u p ¹	k r u p ⁴
ˀk j i k ⁴	ˀk r u k ⁴
d i ²	d ʊ ²
ˀk a ²	k ai ²
ˀk j i ⁴	ˀs u t ⁴
g r i ²	g r e ²
a a ŋ ²	l a ŋ ²
ŋ j a ŋ ²	j a ŋ ²
ˀk a ²	k o ²
m a ŋ ²	m a ŋ ²
ŋ i ¹	ɲ u ¹
r i ŋ ²	s i ŋ ²
ˀk i ²	b i ²
ˀk u p ⁴	b u p ⁴
ʃ u k ⁴	ʃ u k ⁴
g u k ⁴	g u k ⁴
b j a p ⁴	ˀp j a t ⁴
ˀk j a m ²	g j a m ²
m ɛ p ¹	m a t ⁴
d ai a	d ai ²
t a ŋ ²	t a ŋ ²
ŋ a ¹	ŋ a ¹
w a ŋ ¹	w a ŋ ¹
ai n ¹	ˀj i m ¹
b j a ²	ˀp r ɛ ²
ˀk a ²	ˀs ui ²
t a ³	ˀt a ³
m j a k ⁴	m j a k ⁴
ˀtʃ u ²	ˀɲ u ²
ˀŋ j a k ⁴	ŋ j a k ⁴
ˀk a t ⁴	ˀts a t ⁴
ˀtʃ ɛ p ⁴	dʒ a p ⁴
ˀk ai ²	ˀs ai ²
ai ³	ʔ ʊ ¹
ˀk a p ⁴	ˀr a k ⁴
a a k ¹	ˀs a k ⁴
ˀk a k ⁴	ˀj u k ⁴
ˀk ɛ i	s ɛ ²
ˀk r a ŋ ¹	b j i ŋ ¹
ˀk j a k ⁴	ˀk j a k ⁴
n u ³	n u ³
d a t ⁴	d a t ⁴
ˀn a ³	ˀn ai ³
ˀk a ¹	dz a ¹
ˀn a m ¹	ˀn a m ¹
ˀk i ²	ˀt o ŋ ²
ˀk i ²	ˀk ui ²
m j a ²	m j a ²
ˀk r a ⁴	b j a ¹
m r a ŋ ¹	m r a ŋ ¹
g a ŋ ¹	g a ŋ ¹
ˀk i k ¹	g i k ⁴
k j a ŋ ³	k j a ŋ ³
ˀk ɛ ³	s ɛ ³
ˀp a t ⁴	ˀp a t ⁴
t u ¹	d ʊ ¹
d a p ⁴	ˀt a p ⁴
p j ɛ ³	p j ɛ ³
m a k ²	m i k ⁴
d a ŋ ⁴	d a ŋ ²
ˀk a ¹	k a m ¹
l a ŋ ³	l a ŋ ³
ˀk j a ⁴ ⁴	b j a m ¹
g j a ³	g j a ³
ˀk a k ⁴	k a k ⁴
k u ²	ˀk u ²
a ɛ p ⁴	tʃ a p ⁴
l ai ²	l i ²
ˀk a m ¹	j a m ¹
m a ¹	ʔ a ¹
k j a m ¹	k j a m ¹
n a m ¹	n a m ²
ʃ i ³	ʃ i ³
ˀk a a ⁴	t i ŋ ³
ai t ¹	j i p ⁴
ˀk a p ⁴	ˀtʃ a p ⁴
ˀk a ²	k a ²
ˀk i ¹	ˀp e ¹
b j a k ¹	b j a k ⁴
t i ŋ ³	ˀt i ŋ ³
tʃ a ŋ ³	tʃ a ŋ ³
n a ¹	n ai ¹
b j i ¹	b r i ŋ ¹
g a ¹	g ai ¹
r o ¹	r o ¹
m j u k ⁴	m j u k ⁴
b a ³	b a ³
ˀk a ¹	j a ¹
ʃ i n ²	ʃ a n ²
d a a ²	d i ŋ ²
t o ²	d o ²
a i k ⁴	s i k ⁴
g a k ⁴	ˀk a k ⁴
w ɛ p ⁴	w a p ⁴
ˀk a n ²	s a n ²
d a k ⁴	ˀt i k ⁴
m j a ŋ ²	m j a ŋ ²
ˀk a a	ˀl ai ³
k j a ŋ ¹	k j a ŋ ¹
m a a	m ai ²
a a ¹	w a ¹
ˀk a m ²	j a m ²
ˀk j i k ⁴	k j i k ⁴
ˀk a t ¹	k a t ⁴
ˀk a k ⁴	ˀt a k ⁴
m a n ³	m a n ³
d ai ³	ˀt i ³
d a p ⁴	d a p ⁴
l a ŋ ²	l i ŋ ²
p j a ¹	p j a ¹
g j i ⁴	g r u k ⁴
ˀk i ŋ ¹	ˀr i ŋ ¹
ˀk a ²	ʃ a ²
ˀtʃ a k ⁴	dʒ a k ⁴
ˀk a ²	ˀtʃ a k ⁴
d a k ⁴	d a k ⁴
ˀŋ a n ¹	ˀŋ a n ¹
j i k ⁴	ˀj i k ⁴
g j a k ⁴	g j u k ⁴
ˀk a ²	dʒ ui ²
ˀk ai ¹	ˀs e ¹
b i a ¹	b r a ¹
ˀk a a ¹	s a m ¹
