s ɛ p aː r aː r ɛ	s eː p a r aː r ɛ
g r aː t ʊ m	g r aː t ʊ m
k ɔ lː ɛ m	k ɔ lː ɛ m
r ɛ k t ɪ t ʊ d	r ɛ k t ɪ t uː d ɪ n ɛ m
w j ɔ l aː r ɛ	w ɪ ɔ l aː r ɛ
p a nː ʊ m	p a nː ʊ m
p ɪ n t aː r ɛ	p ɪ ŋ g ɛ r ɛ
ɛ k s aː s p ɛ r aː t j oː n ɛ m	ɛ k s a s p ɛ r aː t j oː n ɛ m
ɔ pː ɔ r t uː n ɪ t aː t ɛ m	ɔ pː ɔ r t uː n ɪ t aː t ɛ m
f l ɛ k sː j oː n ɛ m	f l ɛ k s j oː n ɛ m
d ɔ r aː r ɛ	d ɛ aʊ r aː r ɛ
k ɔ n t ɛ n d ɛ r ɛ	k ɔ n t ɛ n d ɛ r ɛ
b ɛ s t j aː r j ʊ m	b eː s t j aː r j ʊ m
w ɛ r ɪ f ɪ k aː r ɛ	w eː r ɪ f ɪ k aː r ɛ
t r aː n s f ʊ n d ɛ r ɛ m	t r aː n s f ʊ n d ɛ r ɛ
ɪ n f ɛ r iː r ɛ	iː n f ɛ rː ɛ
p a l aː j ʊ m	p a l ɛ aː r j ʊ m
s ɛ t aː	s aɪ t a m
b r ɛ w ɛ m	b r ɛ w ɛ m
d ɛ s t r uː g ɪ r ɛ	d eː s t r ʊ ɛ r ɛ
w ɛ r n aː k ʊ l ʊ m m	w ɛ r n aː k ʊ l ʊ m
d ɛ k l aː m aː r ɛ	d eː k l aː m aː r ɛ
ɪ r aː k ʊ n d ʊ m	iː r aː k ʊ n d ʊ m
r ɛ d aː r gʷ ɛ r ɛ	r ɛ d a r gʷ ɛ r ɛ
kʷ a d r ʊ p l a m r ɛ	kʷ a d r ʊ p l aː r ɛ
ɔ b ɛ d ɛ m t ɛ r ɛ	ɔ b ɔ ɪ d iː r ɛ
a pː ɛ n d ɛ r ɛ	a pː ɛ n d ɛ r ɛ
p ɛ r s w aː d ɛ r ɛ m	p ɛ r s w aː d eː r ɛ
ɪ l ʊ d ɪ r ɛ	ɪ lː uː d ɛ r ɛ
p eː r w ɛ n ɪ r ɛ	p ɛ r w ɛ n iː r ɛ
d ɛ t ɪ n ɛ r ɛ	d eː t ɪ n eː r ɛ
p ʊ l w ɪ n aː r ɛ	p ʊ l w iː n a r
p ɛ r w ɛ r t ɪ r ɛ	p ɛ r w ɛ r t ɛ r ɛ
a r m ʊ m s	a r m ʊ m
s ʊ n ʊ m	s ɔ n ʊ m
ɪ n kʷ j ɛ t uː d ɪ n ɛ m	ɪ ŋ kʷ ɪ eː t uː d ɪ n ɛ m
l aʊ r ʊ m k ɛ r aː s ʊ m	l aʊ r ɔ k ɛ r a s ʊ m
ɛ s t ɪ w ʊ m m	aɪ s t iː w ʊ m
n ʊ d oː s ʊ m	n oː d oː s ʊ m
a nː ɪ k ɪ l aː r ɛ	a nː ɪ h ɪ l aː r ɛ
ɛ n ɪ ʊ m	a eː n ɛu m
ɛ k s f ɔ l j aː r ɛ	ɛ k s f oː l j aː r ɛ
ɛ s k ʊ l ɛ n t ʊ m	eː s k ʊ l ɛ n t ʊ m
r eː m ʊ m	r eː m ʊ m
ʊ ŋ g uː l aː t ʊ m	ʊ ŋ g ʊ l aː t ʊ m
w ɔ m ɛ r ɛ	w oː m ɛ r ɛ m
n ɔ t aː r ɛ	n ɔ t aː r ɛ
ɪ n s aː r ɛ	d eː n s aː r ɛ
ɔ k t aː w ʊ m	ɔ k t aː w ʊ m
d ɪ s t ɔ r s j oː n ɛ m	d ɪ s t ɔ r t j oː n ɛ m
ɪ s k ʊ m	ɪ s k ʊ m
ɪ n f l uː iː r ɛ	iː n f l ʊ ɛ r ɛ
j uː g ʊ l aː r ɛ	j ʊ g ʊ l aː r ɛ
k a r ʊ m	k aː r ʊ m
g r aː m ɪ n ʊ m	g r aː m ɪ n ɛu m
m uː r aː l a m	m uː r aː l ɛ m
w ɛ r t ɛ r ɛ	w ɛ r t ɛ r ɛ
a r ɪ ʊ m l ʊ m	h a r ɪ ɔ l ʊ m
k r uː d ɛ l ɛ	k r uː d eː l ɛ m
k ɔ n w ɛ n ɪ r ɛ	k ɔ n w ɛ n iː r ɛ
ɔ l ɛ ʊ m s ʊ m	ɔ l ɛ oː s ʊ m
l ɪ m aː k aː	l iː m aː k ɛ m
k ɔ ɛ r t ɪ m j oː n ɛ m	k ɔ ɪ r k ɪ t j oː n ɛ m
d ʊ l t ɪ s oː n ʊ m	d ʊ l k ɪ s ɔ n ʊ m
ɪ m p r ɔ b ʊ m	ɪ m p r ɔ b ʊ m
ɪ n t ɛ lː ɛ k k j oː n ɛ m	ɪ n t ɛ lː ɛ k t j oː n ɛ m
a b sː ɔ l w ɛ r ɛ	a b s ɔ l w ɛ r ɛ
k ʊ m n aː t ʊ m	k ɔ ŋ n aː t ʊ m
