n e ⁴	n j i ⁴
qʰ ɯ ¹	qʰ ɯ̃ ¹
m ɯ ⁴	m ɯ ⁴
qʰ a ⁴	qʰ a ⁴
s w a ŋ ¹	sʰ w a ŋ ¹
qʰ w a ŋ ²	qʰ w a ŋ ²
k o ⁵	k o ⁵
qʰ ɔ ²	qʰ ɔ ²
qʰ o ŋ ¹	qʰ o ŋ ¹
t æ ⁴	t æ ŋ ⁴
j o ⁵	j ɔ ⁵
q æ n ²	q æ n ²
qʰ u ²	qʰ u ²
sʰ o ³	sʰ ɔ ³
tɕ j e n ¹	tɕ e n ¹
b j o ²	b j ɛ ²
qʰ w æ ³	qʰ w æ ³
tʰ u ²	tʰ j u ²
ɖʐ i ⁴	ɖʐ i ⁴
ɣ u ²	ɣ u ŋ ²
ɣ ɯ ²	ɣ ɯ ²
p j o ¹	pʰ j u ŋ ¹
tsʰ r e ³	kʰ r o ³
ʈ r æ ⁴	ʈ æ ⁴
s o ²	s u ŋ ²
sʰ a ŋ ¹	sʰ a ŋ ¹
d r ɯ ¹	d j ɯ ¹
m æ ²	m æ ²
sʰ o ⁴	sʰ o ⁴
ɖʐ u ŋ ⁴	ɖʐ u ŋ ⁴
pʰ ɯ ¹	pʰ ɯ ¹
p u ²	p ɯ ²
l ɔ ¹	l a ¹
pʰ æ n ³	pʰ æ n ³
qʰ ɔ ¹	qʰ ɔ ¹
ts r i ¹	ts r i ¹
sʰ r i ²	s r i ²
s j j e n ¹	s j e n ¹
m o ²	m ø ²
p æ n ²	p æ n ²
b i ¹	b r i ¹
m æ ⁵	m æ ⁵
tʰ r æ ⁴	tʰ j æ ⁴
s ɔ ²	s ɔ ²
d r ɯ ³	d r ɯ ³
m i ³	m i ¹
s r o ²	s r o ²
tɕ j e n ¹	tɕ e n ¹
q a ŋ ¹	q a ŋ ¹
n j e n ¹	p r e n ¹
o ⁴	ɔ ⁴
g ɔ ¹	g ɔ ¹
ɖʐ o ¹	ɖʐ o ¹
d ɔ ⁵	d ɔ ⁵
sʰ o ¹	sʰ r ɔ ¹
d r ɔ ¹	d r ɔ ¹
ɕ r i ²	ɕ w i ²
p i ³	b r i ³
p ɯ ²	p ɯ ²
b e ²	dʑ i ²
tʰ u ¹	tʰ r u ¹
s j i ²	s j i ²
ɕ r a ⁴	ɕ a ⁴
ɖʐ u ŋ ²	ʈ s u ŋ ²
t w e n ²	t w e n ²
d æ ¹	d r æ n ¹
s u ⁴	s ɔ ⁴
ɣ æ ⁴	ɣ æ ⁴
m ɛ ¹	m ɛ ¹
g o ¹	g o ¹
q æ ⁴	q æ ⁴
