ʔ̚ k ə ʔ̚ ʔ̚ ⁰	ʔ w a ɴ ⁵⁵
s r a ⁵⁵	s r a ⁵⁵
s a ¹¹	s a ¹¹
ˀb w ɛ ⁵⁵	p w ɛ ⁵⁵
ˀb ɔ ɴ ⁵⁵	ˀb ɔ ɴ ⁵⁵
b l ei ⁵⁵	b l ei ⁵⁵
k l o ŋ ¹¹	k l ə ŋ ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
cʰ ə ŋ ⁵⁵	cʰ ə ŋ ⁵⁵
k a ʔ̚ ⁰	l a ʔ̚ ³³
p l a ¹¹	p l a ¹¹
kʰ w i ⁵¹	kʰ w i t ⁵¹
n o ŋ ⁵⁵	n o ŋ ⁵⁵
j ai ⁵⁵	j ai ⁵⁵
p l o m ¹¹	p l o m ¹¹
cʰ a ɴ ¹¹	cʰ j a ɴ ¹¹
tʰ w w ə n ⁵⁵	tʰ w ɨ ɴ ⁵⁵
s ei ¹¹	s r ei ¹¹
kʰ l i ⁵⁵	kʰ l i ʔ ⁵¹
kʰ r a ¹¹	g r a ¹¹
tʰ a ŋ ⁵⁵	tʰ a ŋ ⁵⁵
p l o ŋ ¹¹	p l o ŋ ¹¹
m j i ɴ ⁵⁵	ˀm i n ⁵⁵
kʰ j o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
tʰ a ⁵⁵	tʰ a ⁵⁵
k ə ʔ̚ ⁰	k ə ⁰
cʰ r ou ¹¹	cʰ r ou ¹¹
l o ŋ ¹¹	l o ŋ ¹¹
m ɛ ¹¹	m w ɛ ¹¹
n ə ŋ ⁵⁵	n ɨ ŋ ⁵⁵
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
k ə ⁰	k ə ⁰
b ə ¹¹	p ə ¹¹
c ə ¹¹	ɟ i ¹¹
ʔ u ⁵⁵	ʔ u ⁵⁵
g a ŋ ⁵¹	g a ŋ ⁵⁵
cʰ u ɴ ¹¹	cʰ u ɴ ¹¹
l ei ⁵⁵	l ei ⁵⁵
k ə ⁰	p ə ⁰
ˀb a ⁵⁵	ˀb a ⁵⁵
m e ¹¹	m e ¹¹
cʰ a ɴ ¹¹	cʰ a ɴ ¹¹
n̥ w ɛ ¹¹	n̥ w ɛ ¹¹
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
s ə ɴ ¹¹	s w ɨ n ¹¹
ʔ a ⁵⁵	ʔ a ⁵⁵
n o k̚ ⁵¹	n o k̚ ⁵¹
pʰ w i ⁵⁵	pʰ w i ⁵⁵
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
s ɨ ¹¹	s w ɨ ɴ ¹¹
pʰ ou ⁵⁵	pʰ ou ⁵⁵
pʰ a ¹¹	pʰ a ¹¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
cʰ a ɴ ⁵⁵	cʰ j a ɴ ⁵⁵
ˀd ə ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
p l e ⁵⁵	p l e ⁵⁵
b r a ⁵⁵	b r a ⁵⁵
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
l o ⁵⁵	l o ⁵⁵
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
s i ⁵⁵	s ei ⁵⁵
p l ɔ ɴ ŋ ¹¹	p l ɔ ŋ ¹¹
k ə ⁰	ɲ̊ a ¹¹
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
l o ŋ ¹¹	l̥ o ŋ ¹¹
ʔ o ¹¹	ʔ o ¹¹
kʰ a ¹¹	kʰ a ¹¹
pʰ ɔ ʔ̚ ⁵¹	pʰ ɔ ʔ̚ ⁵¹
ˀb u ⁵⁵	ˀb ə ⁵⁵
ˀb a ¹¹	ˀb a ¹¹
s r e ⁵⁵	s r e ³³
w a ¹¹	h w a ¹¹
d ɔ ŋ ŋ ¹¹	d ɔ ŋ ¹¹
t ə ʔ̚ ⁰	t ə ʔ̚ ⁰
ʔ e ¹¹	ʔ e ¹¹
k ə ⁵⁵	k ə ⁰
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
g l̥ ɛ ⁵⁵	k l ɛ ⁵⁵
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
pʰ e ⁵⁵	pʰ e ⁵⁵
c a ¹¹	ɟ a ¹¹
ˀb i ¹¹	ˀb i ¹¹
m u ¹¹	m u ¹¹
m l ɔ ⁵⁵	m l ɔ ɴ ⁵⁵
