kʰ i ⁵⁵	kʰ ə ⁰
kʰ u ¹¹	kʰ u ¹¹
m̥ ei ⁵⁵	m̥ ei ⁵⁵
k l i ¹¹	kʰ r ei ¹¹
cʰ a ¹¹	cʰ a ¹¹
r a ⁵⁵	r ɔ ⁵⁵
cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
pʰ l ɨ m ⁵⁵	pʰ r ɨ ɴ ⁵⁵
b r e ʔ̚ ⁵¹	b r e ʔ̚ ⁵¹
d ə ¹¹	d ə ¹¹
b o ¹¹	b o ¹¹
s o ⁵⁵	s o ⁵⁵
pʰ e ⁵⁵	pʰ e ⁵⁵
r u ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
kʰ e ⁵⁵	kʰ e ⁵⁵
g u ¹¹	k u ⁵⁵
l e ¹¹	l e ¹¹
p l a ⁵⁵	p l a ⁵⁵
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
ʔ ə ʔ ⁵¹	k ə ʔ̚ ⁵¹
w i ⁵⁵	w i ⁵⁵
k a ⁰	t ə ⁰
l a ʔ ʔ	l a ʔ̚ ³³
b ə ʔ ⁵¹	b ə ʔ̚ ⁰
s a ¹¹	ɟ a ¹¹
kʰ u ¹¹	kʰ u ¹¹
s i ⁵⁵	s ei ⁵⁵
l l u m ¹¹	l u ɴ ¹¹
ɲ̊ a ⁵⁵	ɲ̊ au ⁵⁵
kʰ o ɴ ¹¹	kʰ o ⁵⁵
k ə ⁰	d ə ŋ ⁵⁵
s e ʔ̚ ⁵¹	r e ʔ̚ ⁵¹
cʰ u ɴ ¹¹	cʰ u ɴ ¹¹
k ə ⁵⁵	s ə ⁰
d ɨ m ⁵⁵	d ɨ m ⁵⁵
m ɨ ¹¹	m ɨ ¹¹
l̥ u m ¹¹	l̥ ɛ m ¹¹
p ə ¹¹	p ə ¹¹
l w i ¹¹	l w i ¹¹
kʰ w i ¹¹	kʰ w i ¹¹
j w i ʔ ⁵¹	r̥ w i ʔ̚ ⁵¹
m a ʔ̚ ⁵¹	m a ʔ̚ ⁵¹
n̥ ɔ ¹¹	n̥ ɔ ɴ ¹¹
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
tʰ u ɴ ¹¹	tʰ u ɴ ¹¹
r u ɴ ⁵⁵	r̥ u n ⁵⁵
k w ɛ ɴ ⁵¹	k w a t̚ ⁵¹
ʔ a ⁵⁵	k ə ⁰
s ɛ ⁵¹	ŋ j a t̚ ⁵¹
ʔ a ¹¹	g r a ¹¹
l i ¹¹	l̥ ai ¹¹
m̥ a ʔ̚ ⁵¹	m̥ ɛ ʔ̚ ⁵¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
pʰ ə ¹¹	pʰ ə ¹¹
l o ŋ ¹¹	l̥ o ŋ ¹¹
ˀd e ¹¹	ˀd e ¹¹
m̥ a ⁵⁵	m̥ a ɴ ⁵⁵
l o ⁵⁵	l̥ o ⁵⁵
tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ̚ ⁵¹
ˀd ɛ ⁵⁵	ˀd ɛ ⁵⁵
b i ¹¹	b i ¹¹
m i ⁵⁵	m i ⁵⁵
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
ˀb u ⁵⁵	ˀb ə ⁵⁵
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
s l a ʔ̚ ⁵¹	s w a ʔ̚ ⁵¹
tʰ w i ¹¹	tʰ w i ¹¹
m e ¹¹	m e ¹¹
r ou ¹¹	r ou ¹¹
ˀd ei ¹¹	ˀd ei ¹¹
ʔ a ɴ ¹¹	ʔ ɛ ɴ ¹¹
kʰ l e ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
kʰ u ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
l ɛ ¹¹	l ɛ ¹¹
tʰ w u ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
r w i ¹¹	ŋ w i ¹¹
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
ɲ̊ a ⁵⁵	ŋ̊ a ⁵⁵
l a ɴ ⁵⁵	l a m ⁵⁵
pʰ r u ⁵⁵	p r u ⁵⁵
m l ɛ ¹¹	m w ɛ ¹¹
b r a ¹¹	b r a ¹¹
l e ʔ̚ ⁵¹	l e ʔ̚ ⁵¹
l l ɛ ⁵⁵	l w ɛ ⁵⁵
g a ɴ ⁵⁵	g a ŋ ⁵⁵
k ə ⁰	p ə ⁰
cʰ a ¹¹	cʰ a ɴ ¹¹
ˀb e ŋ ¹¹	ˀb e ŋ ¹¹
pʰ ɔ ⁵⁵	pʰ r ɔ ⁵⁵
m a ⁵⁵	m̥ a ⁵⁵
ˀb a ¹¹	ˀb a ¹¹
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
l̥ u ¹¹	l̥ ou ¹¹
cʰ ou ¹¹	cʰ r ou ¹¹
s ə ʔ ⁰	p ə ⁰
s u ɴ ¹¹	s w ɨ n ¹¹
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
kʰ a ɴ ⁵⁵	kʰ a ŋ ⁵⁵
d ə ʔ ¹¹	t ə ʔ̚ ⁰
kʰ e ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
d e ⁵⁵	d e ɴ ⁵⁵
j ou ¹¹	j ou ¹¹
r w i ¹¹	r w i ¹¹
g l ɛ ⁵⁵	k l ɛ ⁵⁵
cʰ j a ɴ ⁵⁵	cʰ j a ɴ ⁵⁵
ʔ ɔ ¹¹	ʔ ɔ ¹¹
n u ʔ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
m u ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
p ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
tʰ ɔ ⁵⁵	tʰ ɔ ŋ ⁵⁵
tʰ a m ⁵⁵	tʰ a m ⁵⁵
w a ⁵⁵	w ɛi ⁵⁵
pʰ a ¹¹	pʰ a ¹¹
ʔ o ¹¹	ʔ o ¹¹
k i k̚ ⁵¹	c w i k̚ ⁵¹
ˀb l a ɴ ⁵⁵	p l a ⁵⁵
s a ¹¹	ɟ i ¹¹
ʔ a ⁵⁵	ʔ a ⁵⁵
b l a ¹¹	b l a ¹¹
k ə ʔ ⁰	k ə ʔ̚ ⁰
kʰ a ¹¹	kʰ a ¹¹
ʔ a ʔ ¹¹	t ə ʔ̚ ⁰
b e ŋ ⁵⁵	b e ŋ ⁵⁵
s ɔ ¹¹	c ɔ ¹¹
g ə ⁵⁵	k ə ⁰
tʰ w a ɴ ¹¹	tʰ w a ɴ ¹¹
l o ʔ̚ ⁵¹	l o ʔ̚ ⁵¹
kʰ l i ¹¹	kʰ l ei ¹¹
k i m ¹¹	ɟ i m ¹¹
ˀb a ŋ ¹¹	ˀb a ŋ ¹¹
g ə ⁰	g ə ⁰
n̥ e ¹¹	n e ¹¹
l̥ i ¹¹	l̥ i ¹¹
ˀb i ¹¹	ˀb i ¹¹
n̥ w i ⁵⁵	ˀn w e t̚ ⁵¹
s u ⁵⁵	kʰ r ou ⁵⁵
b l ɛ ʔ̚ ⁵¹	b l ɛ ʔ̚ ⁵¹
cʰ a ⁵⁵	c a ⁵⁵
cʰ a ʔ̚ ⁵¹	cʰ a ʔ̚ ⁵¹
r ⁵⁵ m ⁵⁵	ˀd w ɨ ɴ ⁵⁵
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
s a ʔ̚ ⁵¹	kʰ r ɔ t ⁵¹
s u ¹¹	p ɨ ¹¹
j a ⁵⁵	r j a ⁵⁵
b l ei ⁵⁵	b l ei ⁵⁵
j a m ¹¹	j a m ¹¹
m a ⁵⁵	m a ⁵⁵
l a ŋ ⁵⁵	l a ŋ ⁵⁵
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
ˀb l a ¹¹	p l a ¹¹
ɲ̊ a ¹¹ ¹¹	n ei ¹¹
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
s o ¹¹	s o ¹¹
ʔ ɔ ɴ ⁵⁵	ʔ ɔ ⁵⁵
s e ¹¹	c e ¹¹
r o ŋ ¹¹	r o ŋ ¹¹
pʰ a ⁵⁵	pʰ a ⁵⁵
m i ɴ ⁵⁵	m i n ⁵⁵
