qʰ ɔ ¹	qʰ ɔ ¹
ts o ⁴	ts o ⁴
sʰ w a ŋ ³	sʰ w a ŋ ³
b æ ¹	b æ ŋ ¹
j e n ¹	j e n ¹
q ɛ ⁴	tsʰ w a ⁴
sʰ j ɔ ¹	sʰ r ɔ ¹
tsʰ o ŋ ³	tsʰ o ŋ ³
q u ŋ ¹	q o ŋ ¹
tʰ u ¹	tʰ r u ¹
ts ɔ ⁴	dz o ⁴
k w e ¹	k w ɛ ¹
¹ i ⁴	ɕ i ⁴
d a ⁴	d a ⁴
n ɛ ¹	n ɛ ¹
j j o ŋ ¹	n j o ¹
m o ²	m ø ²
p e ¹	b e ¹
sʰ j æ ¹	s j æ n ¹
m æ ²	m æ ²
o o ⁴	b j o ⁴
ɔ ɔ ¹	d o ŋ ¹
sʰ o ³	s r o ⁵
b ɯ ²	p ɯ ²
d ɯ ⁴	tʲ ɯ ⁵
q æ ²	q æ n ²
¹ i ⁴	s j i ⁴
s r i ²	s r ɯ ²
d æ ¹	t æ ¹
tʰ r o ŋ ¹	tʰ r o ŋ ¹
b ɔ ²	p j o ²
w e n ¹	ŋ w e n ¹
ɔ ɔ ¹	m i ¹
p r i ²	b r i ²
tɕ j æ ⁴	tɕ æ ¹
ɖʐ o ⁴	ts r o ⁴
p j o ⁴	p j u ⁴
¹ e n ¹	sʰ j e n ¹
d u ŋ ¹	ts u ŋ ¹
d ɔ ⁵	d ɔ ⁵
¹ j æ n ³	dʑ æ n ³
q w a ⁴	ɣ w a ⁴
ɖʐ i ²	ts r i ²
ɣ w a ⁴	q w a ⁴
n ɔ ŋ ¹	n o ŋ ¹
p i ⁴	p r i ⁴
n e ⁴	n e ⁴
p r æ ¹	pʰ a ¹
p e ¹	b e ¹
b r æ ³	b æ n ³
o r o ¹	pʰ r æ ¹
m æ ²	m æ ²
tsʰ r o ²	kʰ r o ²
s ɔ ɔ ⁴	s w a ⁴
n e ¹	n j o ŋ ¹
o o o ¹	ɕ w i ²
o ²	ɯ̃ ²
¹ j e ²	ɕ w i ²
ɖʐ i n ²	ts r e n ²
tʰ j æ ¹	tʰ æ n ¹
ŋ e ⁴	n j i ⁴
b ɯ ²	p u ²
ɣ ɯ ¹	g ɯ ¹
ɔ ŋ ¹	ʁ o ŋ ¹
ŋ e ⁴	n j e ⁴
j ɯ ¹	j ɯ ¹
d ɯ ³	d ɯ ⁵
h o ³	h a ŋ ⁵
s r o n ⁴	s r o ⁴
b r ɯ ²	b ɯ ²
m a ⁴	m a ⁴
ɣ ɯ ¹	g ɯ ¹
tsʰ o ⁴	tsʰ o ⁴
qʰ u ²	qʰ u ²
o ɯ ¹	pʰ ɯ ¹
⁴ r a ⁴	pʰ r a ⁴
tʰ j i ¹	tsʰ r i ¹
¹ e ¹	s j e n ¹
tʰ r r æ ⁴	tʰ r æ ⁴
d w e n ²	t w e n ²
sʰ r ɯ ²	sʰ r ɯ ²
j e ²	b j ɛ ²
o i ¹	dz i ¹
s ɔ ⁴	s a ⁴
ɖʐ e ¹	ts r e ŋ ¹
qʰ u ŋ ¹	qʰ o ŋ ¹
d w e ⁴	d w ɛ ⁵
d ɔ ⁴	d r o ⁴
ɖʐ i ¹	ts r i ¹
m e ²	m i ²
s r ɯ ²	sʰ r ɯ ²
d o ŋ ²	d j o ŋ ²
q ɯ ¹	q ɯ ¹
qʰ w ɔ ²	kʰ w ɛ ²
⁴ e ²	b e ²
tɕ e ¹	tɕ i ¹
⁴ u ³	ŋ o ³
tɕ i ¹	tɕ i ¹
d i ¹	tʲ ɯ ¹
⁴ w æ ⁴	x w a ¹
j j o ŋ ²	n j o ŋ ²
tʰ r r æ ¹	tʰ æ n ¹
e j æ ⁴	b r æ ⁴
j ɔ ⁴	j ɔ ⁴
tsʰ r o ³	kʰ r o ³
s r e ⁴	s r i ⁴
ɣ ɔ ⁴	k o ⁴
o ɔ ³	b ɔ ³
ɔ ɔ ²	b j o ⁴
z ɔ ¹	z ɔ ¹
o æ ¹	d r æ n ¹
d æ ⁴	t æ ŋ ⁴
ɣ o ŋ ²	k o ŋ ²
ts u ⁵	ts o ⁵
ɖʐ i ¹	ɖʐ i ¹
ŋ w a ⁴	ŋ w a ⁴
ts i ²	ts i ²
b ɔ ¹	b ã ¹
d ɯ ⁴	t ɯ ⁴
⁴ æ ⁴	pʰ æ ⁴
ɖʐ u ŋ ²	ts r ɔ ²
ɣ ɯ ²	ɣ ɯ ²
b u ³	p u ³
w æ ⁵	ŋ w æ ⁵
sʰ w a ⁴	sʰ w a ⁴
s e n ⁵	s e n ⁵
qʰ w a ⁴	qʰ w a ⁴
s r i ¹	sʰ r e ŋ ¹
w e ⁴	b j ɛ ⁴
tsʰ i ⁴	tsʰ j i ⁴
tɕ i ⁴	ts j i ⁴
ɔ ɔ ¹	n o ŋ ³
ɣ a ŋ ¹	k a ŋ ¹
b ɯ ²	p ɯ ²
⁴ ɯ ²	p u ²
ɖʐ i ²	ɖʐ i ²
o ɛ ⁴	b ɛ ⁴
m ɛ ¹	m ɛ ¹
ɣ ɯ ¹	ɣ ɯ ¹
x e n ¹	x e n ¹
dʑ i ¹	dʑ e n ¹
q a ŋ ¹	q a ŋ ¹
o o ²	d r ɯ ²
ɣ o ⁵	k o ⁵
m ɯ ⁴	m ɯ ⁴
ts o ŋ ¹	dz o ŋ ¹
sʰ w a ¹	s w a ŋ ¹
s o ŋ ³	s u ŋ ³
x w i ²	x w i ²
p j e n ¹	pʰ j u ŋ ¹
χ w a ⁴	h w a ⁴
ɣ e ²	ɣ ɯ ²
dʑ i ²	dʑ i ²
p æ ¹	b æ ¹
ɖʐ e ¹	ts r e ŋ ¹
tɕʰ j æ ¹	tɕʰ æ ¹
s r r e ²	s r e ŋ ²
ɣ ɯ ²	ɣ ɯ ²
m ɛ ¹	m ɛ ¹
tɕ i ⁴	d i ⁴
tɕ r ɯ ¹	tɕ ɯ ¹
sʰ ɛ ⁴	sʰ ɛ ⁴
sʰ w a ŋ ¹	sʰ w a ŋ ¹
o o ⁴	ɕ a
ɖʐ j u ⁴	ɖʐ o ⁴
ɣ o ⁴	ɣ ɔ ¹
m e ¹	m e ¹
tɕ e ¹	tɕ u ¹
tɕʰ e ¹	tsʰ j i ¹
ɖʐ i ⁴	ɖʐ i ⁴
tɕ r ɯ ²	tɕ ɯ ²
d r æ ⁴	ʈ æ ⁴
dʑ j a ⁴	dʑ a ⁴
qʰ ɯ ¹	qʰ ɯ̃ ¹
tsʰ ɯ ³	tsʰ ɯ ³
tʰ e ⁴	tʰ r e ⁴
m æ ⁴	m æ ⁴
b æ ⁴	b æ ⁴
q ɯ ¹	q ɯ ¹
ɣ æ ⁴	ɣ æ ⁴
q a ŋ ¹	q a ŋ ¹
p r j e n ¹	p r e n ¹
¹ i n ¹	s j e n ¹
m ɯ ²	m ɯ ²
q æ ¹	q æ n ¹
d ɛ ⁴	t ɛ ⁴
h ɔ ¹	h ɔ ¹
m u ŋ ²	m ø ²
e j e n ¹	p r e n ¹
o o o	w u ⁴
p r i ¹	b r i ²
o æ ³	pʰ æ n ³
tsʰ i ⁴	tsʰ j i ⁴
j w e n ¹	ʁ w e n ¹
tɕʰ e ⁴	tʰ e ⁴
m æ ¹	m æ ¹
m e ²	m ə ²
q æ ⁴	q æ ⁵
ɣ æ ⁴	ɣ æ ⁴
e n ²	n j i ²
ŋ ɯ ¹	ŋ ɯ ¹
n ɔ n ³	ŋ ɔ ³
tʰ j e ²	tʰ j e ²
¹ i ²	s j i ²
sʰ o ⁴	sʰ o ⁴
o w a ²	tsʰ w a ŋ ²
d u ⁴	ʈ o ⁴
s ɔ ³	sʰ ɔ ³
sʰ o ŋ ¹	sʰ r o ŋ ¹
b i ¹	b r i ¹
ts w e j ⁴	ts w ɛ ⁴
⁴ e ¹	pʰ e ¹
d r ɯ n ⁴	ʈ ɯ ⁴
d e n ⁵	d j ɛ ⁵
sʰ u ¹	s r u ¹
ɣ ɯ ²	ɣ ɯ ²
n ɔ ŋ ⁵	n o ŋ ⁵
d o ⁴	ʈ o ⁴
tsʰ r e ¹	tsʰ r e ŋ ¹
ɖʐ r ɯ ³	d r ɯ ³
ɔ ¹	ŋ ɔ ¹
l ɔ ¹	l ɔ ¹
qʰ ɛ n ¹	qʰ e n ¹
m ɯ ³	m ɯ ⁵
ɔ ɔ ⁴	ɕ a ⁴
qʰ a ⁴	qʰ a ⁴
o o ŋ ¹	ɕ o ŋ ¹
o w a ¹	d w a ⁴
sʰ e n ¹	s j e n ¹
n j e n ¹	n j e n ¹
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
kʰ o ¹	kʰ o ŋ ¹
ɖʐ i ⁴	ɖʐ i ⁴
m ɛ ⁵	m ɛ ⁵
ts u ŋ ²	ts u ŋ ²
ɖʐ i ²	ts r i ²
m e ¹	m ɛ ¹
d w e n ¹	t w e n ¹
tʰ u ²	tʰ j u ²
o ɯ ¹	d r ɯ ³
ɣ u ²	k u ²
w i n ¹	ŋ w e n ¹
b ɯ ¹	b ɯ ¹
ʔ w e ¹	ʔ w e n ¹
ɣ æ ⁴	k æ ⁴
ɔ ɔ ⁴	n j i ⁴
ts j u ŋ ¹	ts u ŋ ¹
o ⁴ e n ¹	p r e n ¹
