w a r w r	ʔ a r r
ħ a r a ʃ	ħ r ʃ
d k ʃ	d g ʃ
ʔ r ʕ	r ʕ w
b ʔ ʃ	b ʔ ʃ
qˤ l l	qˤ l ħ
ʃ n	ʃ m
ʔ b h m	b h n
g a p p	g a p p
p qˤ qˤ ʕ	p qˤ ʕ
b a ʕ l t	b ʕ l
ʔ i b r	ʔ i b r a t
qˤ p sˤ	qˤ p sˤ
ʕ m l	ʕ m s
n ʃ qˤ	n ʃ qˤ
m ʔ d	m ʔ d
qˤ d d ʃ	qˤ d ʃ
p r	p a r ɣ
ʔ i θ	j θ w
ɬ a	ɬₓ m a t
p l ħ	p l ħ
p ʃ r	p ʃ r
ʔ k l	ʔ u k l
m ʃ j	m u ʃ j
ɬˤ b tˤ	ɬˤ b tˤ
x r	x a r uː sˤ
p tˤ r	p tˤ r
m w t	m w t
p r qˤ	p r qˤ
z	ð n m
qˤ a r n	qˤ a r n
t i h aː m	t i h aː m
ʕ a m m	ʕ a m m
ʕ n qˤ	ʕ n qˤ
ʔ l aː n	ʔ a l l
ʃ qˤ tˤ	ʃ qˤ tˤ
ʃ m ʕ	ʃ m ʕ
ɣ r	ɣ aː r
n a p ʃ	n a p a
l k	p l k
sˤ r tˤ	ɬˤ r tˤ
d a r d a r	d a r d a r
k m	k m a
r	ʕ sˤ sˤ uː r
ʔ a x	ʔ a x
ʔ a ʃ l	ʔ a ʃ a l
b sˤ θˤ r	b n θˤ u r
ʕ i qˤ t	ʕ i d qˤ
qˤ a l	qˤ a l b
ʔ r n	ʔ n a r
b a h qˤ	b h qˤ
m t	m u t
b a t uː l	b a t uː l
b ɣ j	b ɣ j
ʔ x ð	ʔ x ð
z a r z r	z a r z iː
qˤ i θ θ aː ʔ	qˤ θ ʔ
ʃ a b l t	ʃ u b u l a t
l	l a ʔ a j a t
ʔ a r	ʔ a r ɬˤ
p l ħ	p l ħ
r a ʔ ʃ	r a ʔ ʃ
ʕ i ɬ r aː	ʕ i ɬ r uː
t l	t l ʕ
k l j t	k l j a t
p d j	p d j
