ˀtʃ a ˀŋ ³	dʒ i ŋ ³
a ɛ ¹	ʃ ɛ ¹
p i g ⁴	p i k ⁴
t a ²	ˀp a ²
b j i ŋ ³	b r i ŋ ³
u ŋ ²	ʔ u ŋ ²
g a ŋ ²	g a ŋ ²
i ¹	n i ¹
b a g ⁴	b i k ⁴
ˀk a ⁴	ŋ a n ¹
a a p ⁴	tʃ a k ⁴
ˀk a m ⁴	ˀk a m ¹
l a g ¹	l i k ⁴
a a ŋ ³	dz a ²
a a ²	ˀt a ŋ ²
a ɛ p ⁴	k a p ⁴
l a m ¹	l a m ¹
g j a ⁴	g r a ³
g r a k ⁴	g r a k ⁴
m u ²	m u ²
ˀtʃ i ²	dz e ²
ˀŋ a p ⁴	ŋ a k ⁴
m a ¹	ˀm ai ¹
a a ²	ʃ o ²
j a p ⁴	j a k ⁴
k r u p ¹	k r u p ⁴
ˀk j a k ⁴	ˀk r u k ⁴
t a ²	d ʊ ²
ˀk i ²	k ai ²
a i a ⁴	ˀs u t ⁴
g r i ²	g r e ²
l a ŋ ²	l a ŋ ²
ŋ j a ŋ ²	j a ŋ ²
k a ²	k o ²
m a ŋ ²	m a ŋ ²
ŋ a ¹	ɲ u ¹
r i ŋ ¹	s i ŋ ²
p i ²	b i ²
p u p ⁴	b u p ⁴
ʃ u k ⁴	ʃ u k ⁴
g u k ⁴	g u k ⁴
b j a p ⁴	ˀp j a t ⁴
ˀk a m ²	g j a m ²
m ɛ p ¹	m a t ⁴
d i ²	d ai ²
t a ŋ ²	t a ŋ ²
ŋ a ¹	ŋ a ¹
w a ŋ ¹	w a ŋ ¹
j ai n ¹	ˀj i m ¹
b j a ²	ˀp r ɛ ²
a i ²	ˀs ui ²
t a ³	ˀt a ³
m j a k ⁴	m j a k ⁴
ŋ u ²	ˀɲ u ²
ˀŋ j a k ⁴	ŋ j a k ⁴
a a t ⁴	ˀts a t ⁴
ˀtʃ ɛ p ⁴	dʒ a p ⁴
a ai ²	ˀs ai ²
ai ³	ʔ ʊ ¹
a a p ⁴	ˀr a k ⁴
a a k ⁴	ˀs a k ⁴
k ⁴	ˀj u k ⁴
a ɛ a	s ɛ ²
t r a ŋ ¹	b j i ŋ ¹
ˀk j a k ⁴	ˀk j a k ⁴
n u ³	n u ³
t a t ⁴	d a t ⁴
ˀn a ³	ˀn ai ³
a a ⁴	dz a ¹
ˀn a m ¹	ˀn a m ¹
²	ˀt o ŋ ²
ˀk ai ²	ˀk ui ²
m j a ŋ ²	m j a ²
t r a ⁴	b j a ¹
m r a ŋ ¹	m r a ŋ ¹
g a ŋ ¹	g a ŋ ¹
ˀk ŋ a ˀk ¹	g i k ⁴
k j a ŋ ³	k j a ŋ ³
a ɛ ³	s ɛ ³
ˀp a t ⁴	ˀp a t ⁴
t u ¹	d ʊ ¹
d a p ⁴	ˀt a p ⁴
p j ɛ ³	p j ɛ ³
m a g ²	m i k ⁴
d a ŋ ⁴	d a ŋ ²
k a ¹	k a m ¹
l a ŋ ³	l a ŋ ³
p j a ¹	b j a m ¹
g a ³	g j a ³
ˀk a k ⁴	k a k ⁴
k u ²	ˀk u ²
tʃ a p ⁴	tʃ a p ⁴
l ai ²	l i ²
j a m ¹	j a m ¹
m a ¹	ʔ a ¹
k j a m ¹	k j a m ¹
n a m ¹	n a m ²
ʃ i ³	ʃ i ³
a a a a	t i ŋ ³
j ai t ⁴	j i p ⁴
a a p ⁴	ˀtʃ a p ⁴
k a ²	k a ²
p i ¹	ˀp e ¹
b j a k ¹	b j a k ⁴
t i ŋ ³	ˀt i ŋ ³
tʃ a ŋ ³	tʃ a ŋ ³
ŋ a ¹	n ai ¹
b j a ¹	b r i ŋ ¹
g a ¹	g ai ¹
r o ¹	r o ¹
m j u k ⁴	m j u k ⁴
b a ³	b a ³
j a ¹	j a ¹
ʃ i n ²	ʃ a n ²
d i ²	d i ŋ ²
t o ²	d o ²
a a g ⁴	s i k ⁴
g a k ⁴	ˀk a k ⁴
w ɛ p ⁴	w a p ⁴
a a n ²	s a n ²
d i ˀk ⁴	ˀt i k ⁴
m j a ŋ ²	m j a ŋ ²
a a a	ˀl ai ³
k j a ŋ ¹	k j a ŋ ¹
m a a	m ai ²
w a ¹	w a ¹
j a m ²	j a m ²
ˀk j i ˀk ³	k j i k ⁴
a a a ¹	k a t ⁴
a a k ⁴	ˀt a k ⁴
m a n ³	m a n ³
d ai ³	ˀt i ³
d ɛ p a	d a p ⁴
l a ŋ ²	l i ŋ ²
p j a ¹	p j a ¹
g j a g ⁴	g r u k ⁴
a i ŋ ¹	ˀr i ŋ ¹
a a ²	ʃ a ²
ˀtʃ a k ⁴	dʒ a k ⁴
a a ²	ˀtʃ a k ⁴
t a k ⁴	d a k ⁴
ˀŋ a n ¹	ˀŋ a n ¹
j i ˀk ⁴	ˀj i k ⁴
g a k ⁴	g j u k ⁴
a ²	dʒ ui ²
a i ⁴	ˀs e ¹
b j a ¹	b r a ¹
a a ¹	s a m ¹
m j i ŋ ¹	m r i ŋ ¹
a a m ¹	ʃ a m ¹
b a n ²	b a n ²
p a p ⁴	p a k ⁴
ˀn a p ³	n a p ⁴
b j i ²	b j e ²
p j u ³	p r o ¹
p u k ¹	p u k ⁴
k r u ²	k j u ³
n a ŋ ¹	n a ŋ ¹
m j i ²	n e ²
b j a ŋ ¹	b j a ŋ ¹
l i ²	ˀl i ²
ˀts a p ⁴	ts a p ⁴
ˀk j a ⁴	ˀk j u ³
k j ɛ p ⁴	k j a p ⁴
w a m ¹	w a m ¹
d a ²	ˀt a ²
a i ŋ ¹	dʒ i m ¹
w a m ³	w a m ³
ŋ a ²	ŋ a ²
b a ˀŋ ³	b i ŋ ³
a a k ⁴	s u t ⁴
a i ²	ʃ e ²
a a a a	b j ɛ ¹
p a a	p a ³
ˀk j a ⁴	ˀk j u ¹
g u ²	g u ²
a a ŋ ¹	s a ŋ ¹
m i ²	m e ²
b i ˀk ⁴	ˀp i k ⁴
t u ŋ ¹	d u ŋ ¹
ˀts a ¹	ts a m ¹
b j a ˀk a	b j i k ⁴
ŋ a m ¹	ʔ a m ¹
w ai ¹	w ai ¹
k j a ⁴	k j u ¹
ˀts u ²	ˀts u ²
a r a ²	dʒ a ²
r u k ¹	r u k ⁴
a u m ²	s u m ²
ŋ u ¹	ŋ u ¹
a a ˀk ⁴	k i k ⁴
b a n ¹	b a n ¹
n i g ⁴	n i k ⁴
