k u l	k a l
x tˤ r	x u tˤ r
sˤ a l l l	sˤ l
ð a qˤ a n	ð a qˤ a n
k b r	k b r
g n n	g n n
r g m	r g m
w r m	r m
qˤ d d ʃ	qˤ d ʃ
ð b aː	ð
k a ʃ	k
ħ r b ʔ	ħ r b
ɬ a ʕ p a t	ɬ p
x i m ʔ a t	x i m ʔ a t
ð k r	ð k r
ʔ u m m	ʔ i m m
ʕ a n z	ʕ n z
qˤ a r n	qˤ a r n
θ u n	θ n
d l w	d l w
z k j	ð k j
b a r m	b r m
w a l a d	w l d
n ʕ aː m	n u
qˤ i b a	qˤ b a t
ħ l qˤ	ħ l qˤ
ɬ b ʕ	ɬ b ʕ
k r	k a
g m d d	k m d
ʕ ʃ t	ʕ a ʃ t
ʕ m	ʕ m s
r	ʕ sˤ sˤ uː r
l a qˤ l a qˤ	l a qˤ l a qˤ
r ɣ t	r u ɣ w a t
b	b ʔ
p r tˤ	p r tˤ
n w m	n w m
d a j d	d d
ʔ l	x l
x tˤ m	x u tˤ m
ʕ n qˤ	ʕ n qˤ
ħ b tˤ	ħ b tˤ
d ʕ t	ð ʕ a t
g a r a b	g a r a b
ʕ i ɬˤ	ʕ i ɬˤ
ʃ n a	ʃ m
ʕ a l	ʕ a l a j
ʔ r w j j	ʔ a r w i j
ʃ θ n a j	θ i n aː
g g a	g uː g
b a ʕ l t	b ʕ l
m t qˤ	m tˤ qˤ
θ a l	θ l
z a p p	z a p p
b ɣ j	b ɣ j
d w r	d w r
l ʔ	l a ʔ a j a t
l a m ɬˤ a	l a m θˤ
ħ a l ʔ	ħ
ħ a qˤ l	ħ a qˤ l
k i l a	k i l ʔ
qˤ ʃ	qˤ a j ɬ
x n z w t	x n z z
ʔ a n	ʔ a n aː k u
b i n t	b i n t
n n aː ʔ	ʔ n j
l qˤ ħ	l qˤ ħ
p iː l	p iː l
qˤ a w qˤ n	qˤ qˤ n
m r r t	m r r a t
w k a	ð
w a r w r	ʔ a r r
d w	d w j
ɬˤ a b ʕ	ɬˤ b ʕ
ʔ a b n	ʔ a b n
g p p	g a p p
p	p s ħ
