ɪ t ɛ r aː t j oː n ɛ m	ɪ t ɛ r aː t j oː n ɛ m
d ʊ l k oː aː r a m	d ʊ l k oː r ɛ m
f r aː s ɪ n ʊ m	f r a k s ɪ n ʊ m
a fː ɪ r m aː r ɛ	a fː ɪ r m aː r ɛ
b ʊ lː ɪ r ɛ	b ʊ lː iː r ɛ
d ɪ d aː n j aː	z iː zː a n j a
l a b r ʊ m	l a b r ʊ m
f a r m aː k ʊ m	pʰ a r m a k ʊ m
b ɛ lː ʊ m	b ɛ lː ʊ m
b a r b aː r ɪ s m ʊ m	b a r b a r ɪ s m ʊ m
k ɔ m p l ɛ m ɛ n t ʊ m	k ɔ m p l eː m ɛ n t ʊ m
g a w ɛ t a m	g a b a t a m
t ɔ rː ɛ m	t ʊ rː ɛ m
ɪ n t ɛ lː ɛ k t ʊ m	ɪ n t ɛ lː eː k t ʊ m
k ɔ m ɛ n t aː r j ʊ m	k ɔ mː ɛ n t aː r j ʊ m
p ɔ r k a	p ɔ r k a m
ɪ n s ʊ l s ʊ m	iː n s ʊ l s ʊ m
a s t ʊ r ɛ	a s t ʊ r ɛ m
t aʊ r ɪ f ɔ r m ɛ	t aʊ r ɪ f oː r m ɛ m
m ɛ n d ɪ k aː r ɛ	m ɛ n d iː k aː r ɛ
d ɛ t ɛ s t aː r ɛ	d eː t ɛ s t aː r iː
t ɪ m oː n ɛ m	t eː m oː n ɛ m
a mː ɔ n ɛ s t aː r ɛ m	a d m ɔ n eː r ɛ
w ɔ k ɪ f ɛ r aː r ɛ	w oː k ɪ f ɛ r aː r iː
n ɪ m j ʊ m	n ɪ m j ʊ m
s uː kː ʊ l ɛ n t ʊ m	s ʊ kː ʊ l ɛ n t ʊ m
f a s t ʊ m	f aː s t ʊ m
w ɛ r t ɪ g ɪ n oː s ʊ m	w ɛ r t iː g ɪ n oː s ʊ m
s ɪ ɪ n t ɪ pʰ ɪ k ʊ m	s k ɪ ɛ n t ɪ f ɪ k ʊ m
t ɛ s t ɪ m oː n j ʊ m	t ɛ s t ɪ m oː n j ʊ m
f ɪ s k ʊ m	f ɪ s k ʊ m
ɔ s k ʊ l ʊ m	oː s k ʊ l ʊ m
p r ɛ d aː t oː r ɛ	p r aɪ d aː t oː r ɛ m
s ʊ b ɔ r n aː r ɛ	s ʊ b oː r n aː r ɛ
ɛ fː ɛ m ɪ n a m r ɛ	ɛ fː eː m ɪ n aː r ɛ
ɔ b s t ɛ t aː t r ɪ k a m	ɔ b s t ɛ t r iː k ɛ m
m ɛ d j ʊ m	m ɛ d j ʊ m
s k ʊ d ɛ lː a m	s k ʊ t ɛ lː a m
m ɛ t aː lː	m ɛ t a lː ʊ m
k a t ɛ k ɪ s m ʊ m	k a t eː kʰ ɪ s m ʊ m
ɪ n k ɔ l ʊ m ɛ m	ɪ ŋ k ɔ l ʊ m ɛ m
g uː r ɪ s p r uː d ɛ n t a m	j uː r ɪ s p r uː d ɛ n t j a m
n ɔ r m a m	n oː r m a m
t r ɪ ʊ n f a m t oː r ɛ m	t r j ʊ m pʰ aː t oː r ɛ m
f eː mː ɪ n a m	f eː m ɪ n a m
ɛ sː ʊ m	ɪ p s ʊ m
a d mː ɔ n ɪ t j oː n ɛ m	a d m ɔ n ɪ t j oː n ɛ m
w ɛ n d ɛ m j a m	w iː n d eː m j a m
a p r ɪ r ɛ	a p ɛ r iː r ɛ
k ɛ l ɛ n t ɛ m	k a l ɛ n t ɛ m
b oː r s a m	b ʊ r s a m
s ɛ r ɛ m n a r ɛ	s ɛ r eː n aː r ɛ
k ɔ n w ɔ k aː r ɛ	k ɔ n w ɔ k aː r ɛ
a l k j ɔ n	a l k y ɔ n ɛ m
k ɛ nː ʊ m	k ɪ nː ʊ m
a d ʊ n t ʊ m	a d j ʊ ŋ k t ʊ m
k a r p ɛ n t ʊ m	k a r p ɛ n t ʊ m
l ʊ k b r ɛ ɛ k aː r	l uː k ʊ b r aː r ɛ
s a n t ɪ t aː t ɛ m	s aː ŋ k t ɪ t aː t ɛ m
k ɪ k ɔ n ɛ a m	k ɪ k oː n j a m
ɛ m aː k ɪ t aː	ɛ m aː k ɪ t aː t ɛ m
s uː ɪ n ʊ m	s ʊ iː n ʊ m
p a s t ɪ m n aː k a m	p a s t ɪ n aː k a m
f r ɛ m ɪ r ɛ	f r ɛ m ɛ r ɛ
f l aː t ʊ m	f l aː t ʊ m
k l aʊ d ɪ k a m r ɛ	k l aʊ d ɪ k aː r ɛ
f uː g aː r ɛ	f ʊ g aː r ɛ
g aʊ d ʊ m	g aʊ d j ʊ m
a g aː t a m	a kʰ aː t eː n
w ɛ n j a m	w ɛ n j a m
d uː b ɪ t aː r ɛ	d ʊ b ɪ t aː r ɛ
p ɛ r s k r ʊ t aː r ɛ m	p ɛ r s k r uː t aː r iː
w ɪ g ɔ r aː r ɛ	w ɪ g oː r aː r ɛ
k a p ɪ t ʊ l aː t j oː n ɛ m	k a p ɪ t ʊ l aː t j oː n ɛ m
t r a n s m ɪ g r a m r ɛ	t r aː n s m ɪ g r aː r ɛ
a kː ɪ s ɪ t j oː n ɛ m	a kː w ɪ s iː t j oː n ɛ m
n a t aː t ɔ r j ʊ m	n a t aː t oː r j ʊ m
a b ɪ t ʊ m	h a b ɪ t ʊ m
d a n oː s ʊ m	d a m n oː s ʊ m
ɛ k s ɪ t ʊ m	ɛ k s ɪ t ʊ m
ɔ b ɪ t ʊ m	ɔ b ɪ t ʊ m
l a r g ʊ m	l a r g ʊ m
w ɔ l aː r ɛ	w ɪ ɔ l aː r ɛ
b a l aː r ɛ	b aː l aː r ɛ
a m aː t oː r ɛ	a m aː t oː r ɛ m
g l ɔ r j aː r ɛ	g l oː r j aː r iː
b a k t ɪ s m ʊ m	b a p t ɪ s m ʊ m
m a ŋ ɪ k a m	m a n ɪ k a m
r ɛ l ɪ kʷ j a m	r eː l ɪ kʷ j aː s
s p ɛ k ʊ j ʊ m	s p ɛ k l ʊ m
b r uː k ʊ m	b r uː kʰ ʊ m
r ɔ g a m d aː	r oː r ɛ m
a pː aː r ɛ n t ɛ m	a pː a r ɛ n t ɛ m
t r ɛ p ɪ d ʊ m	t r ɛ p ɪ d ʊ m
m ɪ s t ɪ k ʊ m	m y s t ɪ k ʊ m
a ɛ d ʊ l ɛ n a m	h ɪ r ʊ n d ɪ n ɛ m
r a n ʊ m	a r aː n ɛu m
r ɛ f r ɪ g ɛ r aː t j oː n ɛ m	r ɛ f r iː g ɛ r aː t j oː n ɛ m
b ɛ n ɛ f aː k r ɛ	b ɛ n ɛ f a k ɛ r ɛ
a n t ɛ k ɛ sː oː r ɛ	a n t ɛ k ɛ sː oː r ɛ m
p r ɔ f ɪ t ʊ m	p r oː f ɛ k t ʊ m
p a r ɪ r ɛ	p a r ɛ r ɛ
a w ɪ n a m	a w eː n a m
m ɛ n aː k aː	m ɪ n aː k ɛ m
ɛ s k ɔ p r ʊ m	s k a l p r ʊ m
p a l ʊ m b aː r j ʊ m	p a l ʊ m b aː r j ʊ m
kʷ a d r ʊ p l ɪ k aː r ɛ m	kʷ a d r ʊ p l ɪ k aː r ɛ
a l ʊ m nː ʊ m	a l ʊ m n ʊ m
l ɪ n ɛ aː r ɛ	l iː n ɛ aː r ɛ
p a l p ɛ b r a m	p a l p ɛ b r a m
s p uː r j ʊ m	s p ʊ r j ʊ m
t ɪ m ɪ d ʊ m	t ɪ m ɪ d ʊ m
l ɪ g aː t j oː n ɛ m	l ɪ g aː t j oː n ɛ m
ɔ pː oː n r ɛ	ɔ pː oː n ɛ r ɛ
w ʊ l g ʊ m	w ʊ l g ʊ s
l a k ɛ r aː r ɛ	l a k ɛ r aː r ɛ
k l aː r ɪ t aː t ɛ m	k l aː r ɪ t aː t ɛ m
a b ɪ t aː r ɛ	h a b ɪ t aː r ɛ
r ɛ f ɔ r m aː t j oː n ɛ m	r ɛ f ɔ r m aː t j oː n ɛ m
a kː uː s aː t j oː n ɛ	a kː uː s aː t j oː n ɛ m
b r aː k aː	b r aː k a m
s k r ɪ b a m	s k r iː b a m
l ɔ k ʊ t j ʊ m n ɛ	l ɔ k uː t j oː n ɛ m
k a n ʊ m n ɛ	k a n ɔ n ɛ m
s ʊ p ɪ n ʊ m	s ʊ p iː n ʊ m
d ɛ p r ɛ d aː t j ʊ m n ɛ m	d eː p r aɪ d aː t j oː n ɛ m
j uː s t ɪ f ɪ k aː t j oː n ɛ m	j uː s t ɪ f ɪ k aː t j oː n ɛ m
p ʊ ɛ r ɪ l ɛ	p ʊ ɛ r iː l ɛ m
f a k t oː r ɛ	f a k t oː r ɛ m
l ɪ t ʊ r g j a m	l iː t uː r g j a m
s ɔ lː ɪ k ɪ t uː d ɪ n ɛ m	s ɔ lː ɪ k ɪ t uː d ɪ n ɛ m
d ɪ sː w aː d ɛ r ɛ	d ɪ sː w aː d eː r ɛ
a n uː l aː r ɛ	aː n ʊ l aː r ɛ m
s ɪ m j ʊ m	s iː m j ʊ m
k r ɛ t a m	k r eː t a m
gʷ a r d aː r ɛ	w a r d aː r ɛ
r ɛ m ɛ k ɛ r ɛ	r ɛ m ɪ s k eː r ɛ
p a b ʊ l ʊ m m	p aː b ʊ l ʊ m
m a k ɛ lː aː j ʊ m	m a k ɛ lː aː r j ʊ m
k ɔ n s ɛ m kʷ ɪ r ɛ	k oː n s ɛ kʷ iː
ɪ n s ɪ ŋ n j a m	iː n s ɪ ŋ n ɛ
g r aː m a m t ɪ k aː l	g r a mː a t ɪ k aː l ɛ m
s k r ɪ n j ʊ m	s k r iː n j ʊ m
s ɛ d aː r ɛ	s eː d aː r ɛ
k l ʊ k ɪ a m r ɛ	g l oː k iː r ɛ
w a g ʊ m	w a g ʊ m
ɪ n w ɛ n t aː t r ɪ k ɛ	ɪ n w ɛ n t r iː k ɛ m
t ɔ m ʊ m	t ɔ m ʊ m
m a k s k ɛ lː aː r ɛ	m a k s ɪ lː a r ɛ m
