ɕ u ⁴	ɕ o ⁴
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
s j i ⁴	s j i ⁴
m i ¹	m e ¹
qʰ w æ ³	qʰ w æ ³
m ɯ ²	m ɯ ²
qʰ o ¹	qʰ u ¹
k o ³	k o ⁵
sʰ ɛ n ³	s e n ⁵
m j æ ¹	m j æ ¹
ʈ r o ⁴	d r o ⁴
n ɛ ⁴	n e ⁴
m ɯ ⁴	m ɯ ⁴
n o ³	n o ŋ ⁵
b ɯ ¹	b r i ¹
g ɯ ¹	g ɯ ¹
dʑ o ⁴	dz o ⁴
sʰ w ɛ ⁴	sʰ w ɛ ⁴
ɣ u ¹ ¹	ɕ w i ²
m o ⁴	m ɔ ⁴
j i ³	j i ³
j o ⁴	j ɔ ⁴
ʈ s e ¹	ts r e ŋ ¹
ʈ s r ɛ n ³	ɖʐ w e n ⁵
s r u ³	s r o ⁵
d r ɯ ⁴	ʈ ɯ ⁴
j e n ¹	j e n ¹
ɣ u ɛ ⁴	ts w ɛ ⁴
g ɯ ŋ ³	g ɯ̃ ³
tsʰ e ¹	tsʰ r e ŋ ¹
ɣ u ²	ɣ u ŋ ²
tɕ r e ¹	tɕ ɯ ¹
x ɯ ²	x ɯ ³³
m ɛ ²	m ɛ ²
s r r e ²	s r e ŋ ²
qʰ ɔ ¹	qʰ ɔ ¹
t a ⁴	d a ⁴
sʰ r i ²	s r i ²
ɖʐ j o ⁴	ɖʐ o ⁴
m æ ⁴	m æ ⁴
ŋ ɯ ¹	ŋ ɯ ¹
tsʰ ɯ ³	tsʰ ɯ ³
ʈ u ¹	d r o ŋ ¹
ts j a ³	tɕ a ³
m æ ³	m æ ⁵
j a ⁴	j a ⁴
ɖʐ u ŋ ¹	ɖʐ u ŋ ¹
t j o ⁴	d j ɯ ¹
b j o ²	b j ɛ ²
p a ŋ ⁴	b a ŋ ⁴
dʑ u ŋ ²	ɖʐ u ŋ ²
sʰ ɔ ²	s ɔ ²
p r i ²	b r i ²
b ɯ ³	p u ³
p u ²	p ɯ ²
q ɯ ¹	q ɯ ¹
p r a ⁴	b r æ ⁴
dʑ i ²	ts i ²
ʈ r ¹ ¹	d r ɯ̃ ¹
d o ⁴	d r o ⁴
dʑ j æ ⁴	tɕ æ ¹
tʰ e ŋ ²	tsʰ r e n ²
x w ɛ ²	x w i ²
qʰ w a ŋ ²	qʰ w a ŋ ²
h ɔ ¹	h ɔ ¹
tɕ i ¹	tɕ i ¹
n ŋ o ²	n j i ⁴
q w a ⁴	q w a ⁴
p æ n ²	p æ n ²
tʰ e ²	tʰ j e ²
ɕ i ⁴	ɕ i ⁴
p r e n ¹	p r e n ¹
ŋ w e n ¹	ʔ w e n ¹
dʑ j æ n ³	dʑ æ n ³
ʈ s u ³	ɖʐ o ³
ɣ ɯ ²	χ ɯ̃ ²
ŋ r ¹ ¹	d r ɯ ³
ŋ ɔ ¹	l ɔ ¹
k w a ¹	k w a ⁴
tsʰ j æ n ¹	tsʰ j æ n ¹
n w e n ¹	ʔ w e n ¹
n o ŋ ¹	n o ŋ ¹
tsʰ j e n ¹	tsʰ w e n ¹
n o ²	n o ²
n u a ⁴	s w a ⁴
b æ ³	b æ n ³
dʑ o ŋ ¹	dz o ŋ ¹
b o ²	b e ²
k u ²	k u ²
n ɛ ¹	n ɛ ¹
d r ɯ ¹	d j ɯ ¹
dʑ e ⁴	ɖʐ i ⁴
g o ¹	g u ¹
n ɛ ⁴	b ɛ ⁴
k w e ¹	k w ɛ ¹
m o ²	m ø ²
tʰ i ⁴	tsʰ r i ¹
t w ɛ ⁴	d w ɛ ⁵
k æ ⁴	k æ ⁴
ʈ s i ²	ts r i ²
qʰ æ ⁴	qʰ æ ⁴
pʰ ɯ ¹	pʰ ɯ ¹
ts j j e n ¹	tɕ e n ¹
sʰ w a ⁴	sʰ w a ⁴
ɣ u ²	ɣ ɯ ²
p r u ²	p ɛ ²
ɣ ɯ ¹	ɣ ɯ ¹
ʈ s o ⁴	ts r o ⁴
q æ ³	q æ ⁵
m ə ¹	m e ¹
t w e n ¹	t w e n ¹
sʰ r o ŋ ¹	sʰ r o ŋ ¹
ɣ ɔ ¹	ɣ ɔ ¹
ŋ u ¹	m i ¹
ts j i ¹	tɕ i ¹
sʰ w a ¹	s w a ŋ ²¹
ʈ s r o ²	ts u ²
ɣ ɯ ²	ɣ ɯ ²
ɣ o ¹	kʰ u ŋ ¹
ɣ u ³	d ɔ ⁵
t ɔ ¹	d ɔ ¹
tʰ r o ⁴	tʰ r o ⁴
sʰ r ɔ ¹	sʰ r ɔ ¹
q o ⁴	q ɔ ⁴
sʰ o ²	s u ŋ ²
m o ²	m ø ²
q æ ¹	q æ n ¹
tʰ r æ ⁴	tʰ j æ ⁴
d i ⁴	d i ⁴
sʰ e n ³	s e n ⁵
tsʰ w a ²	tsʰ w a ŋ ²
k o ²	k o ŋ ²
ts j j e n ¹	tɕ e n ¹
ɣ i ¹	dz i ¹
ŋ o ⁴	ʔ o ⁴
b r a ŋ ¹	m j æ ¹
ŋ ɔ ¹	l a ¹
t ɛ ⁴	d ɛ ⁴
s r u ¹	s r u ¹
pʰ a ¹	pʰ a ¹
n o ŋ ¹	d o ŋ ¹
s j e n ¹	s j e n ¹
p j u ¹	p r ɔ ¹
n o ³	s ɔ ⁴
h u ²	t u ²
ʈ s i ¹	ts r i ¹
tʰ u ¹	tʰ r u ¹
ɣ w a ⁴	ɣ w a ⁴
pʰ u ¹	pʰ e ¹
ŋ j e n ²	ŋ j o ²
m æ ŋ ²	m æ ²
k o ¹	k o ŋ ¹
n ɔ ³	n ɔ ³
ŋ o ¹	ʁ ɯ ⁴
ʈ s e ²	ts r e n ²
q r ɛ ⁴	tsʰ w a ⁴
tsʰ j æ n ¹	tɕʰ æ ¹
m o ²	m o ²
ŋ j ¹ ²	n j i ²
t i ¹	tʲ ɯ ¹
p j u ¹	pʰ j u ŋ ¹
ŋ w o n ¹	ŋ w e n ¹
ɣ u ⁴	ɣ o ⁴
ɣ u ⁴	ɕ a
qʰ ɛ n ¹	qʰ e n ¹
ɣ ɯ ²	ɣ ɯ ²
j u ²	ŋ j o ²
sʰ r ɯ ²	sʰ r ɯ ²
ɣ u ¹	w u ⁴
p r i ¹	p r i ¹
ɣ a ŋ ¹	ɣ æ ¹
x e n ¹	x e n ¹
tsʰ j i ¹	tɕʰ i ¹
m o ²	m ø ²
tsʰ o ŋ ³	tsʰ o ŋ ³
m i ²	m i ²
ts j j ɯ ²	tɕ ɯ ²
ts e ³	d j ɛ ⁵
p r ɛ n ³	p r e n ⁵
q a ŋ ¹	q a ŋ ¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
pʰ ɔ ³	pʰ ɔ ³
q æ ⁴	q æ ⁴
s r o ²	s r o ²
tʰ r a ⁴	tʰ a ⁴
p r i ¹	b r i ²
qʰ o ⁴	qʰ ɔ ⁴
b j ɛ n ¹	n j e n ¹
