d ɛ ²	d ɛ ²
kʰ ɛ ²	kʰ j ɛ ²
g o ¹	g u ¹
p a̠ ³	p a̠ ³
tsʰ o̠ ³	tsʰ o̠ ¹
x a̠ ³	x a̠ ³
p a̠ ³	p a̠ ³
ɣ e̠ ¹	ɣ e̠ ¹
d e ³	d e ³
s ɛ̠ ³	s ɛ̠ ³
t y ¹	t y ¹
ˀl o̠ ³	ˀl o̠ ¹
l e̠ ³	l e̠ ³
b y ³	b y ³
ˀn a ¹	ˀn a ¹
b y ³	b u̠ ¹
v e̠ ³	v e̠ ³
a ¹	a ¹
ʃ ɛ ¹	ʃ ɛ ¹
k o ³	k a ŋ ²
tsʰ e ²	tʃʰ e ¹
f u ³	f u ³
pʰ e̠ ¹	pʰ e̠ ¹
kʰ ɨ ¹	kʰ i ¹
dz e ²	dz i ²
ˀv e̠ ¹	ˀv e̠ ¹
x ɨ ²	x ɨ ²
k e ²	dʒ i ²
ˀm y ²	ˀm y ²
k a̠ ³	x a̠ ³
a ¹	a ¹
ʃ ɛ ¹	ʃ ɛ ¹
kʰ ɛ̠ ³	kʰ ɛ̠ ³
ˀŋ a ²	ŋ i ²
n i ¹	n i ¹
n y ¹	n y ¹
ʒ o̠ ³	ʒ o̠ ³
ɣ ²	n u ²
d i ¹	d i ¹
kʰ i ¹	kʰ i ¹
k a̠ ³	x a̠ ³
a ¹	a ¹
tsʰ u ¹	tsʰ u ¹
ʃ y ¹	s i ¹
m u ²	m j u ²
ˀn u̠ ³	ˀn u̠ ³
l o̠ ²	l y ²
ɣ a ŋ ¹	x a ŋ ¹
a ¹	a ¹
dz i ²	dz i ²
k a ŋ ³	k u ³³
l u ¹	l u ¹
pʰ y̠ ²	pʰ u ²
ʃ i̠ ²	ʃ ɨ ²
ɣ a ¹	g j a ¹
h e ¹	h e ¹
pʰ o ²	pʰ i ²
a ¹	a ¹
ɣ i ¹	ɣ ɨ ¹
m a ²	m a ²
n ɛ ²	n e ²
v ɛ̠ ³	v ɛ̠ ³
d a ¹	d a ŋ ¹
m a ¹	m a ¹
ɣ i ¹	ʒ e ¹
pʰ ɨ ¹	pʰ ɨ ¹
l a ¹	l a ¹
dz i ¹	dz e ¹
d a ¹	d a ¹
ts i̠ ³	ts i̠ ³
a ¹	a ¹
a ¹	a ¹
m a ²	m a ²
g a ¹	g a ¹
pʰ u ¹	pʰ u ³
tsʰ e ¹	tsʰ e ¹
a ¹	a ¹
z a ²	z a ²
v e̠ ³	v e̠ ³
kʰ ɨ ³	kʰ ɨ̠ ³
t u ²	d u ¹
p i ²	p y̠ ¹
h i ¹	h ɛ̠ ¹
k j e ²	k j ɛ ²
pʰ o ²	pʰ y ²
ˀn e̠ ¹	ˀn e̠ ¹
s i̠ ¹	s i̠ ¹
x a ¹	ˀx o̠ ¹
v a ²	v a ²
a ¹	a ¹
n̩ ²	n i ²
ˀn a ¹	ˀn a ¹
h e̠ ³	h e̠ ³
k j ɛ ²	k j ɛ ²
z a ²	z a ²
x i̠ ³	x ɨ̠ ³
dz a ¹	dz a ¹
g i̠ ¹	tsʰ i̠ ³
ʃ i ¹	ʃ i̠ ¹
l a ¹	l a ¹
g a ŋ ¹	g a ŋ ³
kʰ e̠ ¹	kʰ e̠ ¹
tsʰ y̠ ³	tsʰ y̠ ³
p a ¹	p e ¹
tʰ y ¹	tʰ y ¹
ˀv a ¹	ˀv a ¹
ɣ i ¹	ɣ i ¹
n̩ ²	n i ²
m a ŋ ²	m a ŋ ²
ˀm a ²	ˀm a ²
tʰ i ²	dz a ŋ ²
g ɨ ²	g u ²
k a ¹	k u ¹
m u ³	m u ³
b e ¹	b e ³
a ²	a ²
m a ³	m a ³
d e̠ ¹	d e̠ ¹
pʰ ɛ ²	pʰ ɛ ²
m a ²	m a ŋ ²
tʃʰ o̠ ¹	tʃʰ o̠ ¹
g u ¹	g j e̠ ¹
l u ³	l u ³
ɣ a ²	ɣ a ²
kʰ y ¹	kʰ j y ¹
