p o ²	p j o ²
s r o ¹	s r o ¹
s r r ɯ ²	sʰ r ɯ ²
j a ⁴	j a ⁴
m æ ⁵	m æ ⁵
s e n ⁵	s e n ⁵
ɖʐ u ŋ ŋ ¹	ɖʐ u ŋ ¹
sʰ o ŋ ¹	s o ŋ ¹
d ɯ ²	dʑ ɯ ²
s a ⁴	s a ⁴
k o ⁵	k o ⁵
sʰ r o ŋ ¹	sʰ r o ŋ ¹
ɣ æ ⁴	ɣ æ ⁴
s r r e ŋ ²	s r e ŋ ²
m o ²	m ø ²
s r o ⁵	s r o ⁵
pʰ ɔ ³	pʰ ɔ ³
t w e n ²	t w e n ²
ɕ æ n ¹	s j æ n ¹
qʰ u ¹	qʰ u ¹
b a ⁴	b a ⁴
tɕ j e n ¹	tɕ e n ¹
b æ ŋ ¹	b æ ŋ ¹
pʰ æ ⁴	pʰ æ ⁴
d o ŋ ²	d j o ŋ ²
ʈ w æ n ²	ʈ w æ n ²
m o ²	m ø ²
qʰ w a ŋ ²	qʰ w a ŋ ²
p r ɛ n ⁵	p r e n ⁵
d ŋ e ¹	n j i ⁴
m ɔ ¹	m ɔ ¹
m æ ŋ ¹	m æ ¹
ts r i ¹	ts r i ¹
ɕ o ⁴	w u ⁴
ɖʐ o ⁴	ɖʐ o ⁴
tɕ ɯ ¹	tɕ ɯ ¹
sʰ a ŋ ¹	sʰ a ŋ ¹
pʰ æ ¹	pʰ æ ¹
ts r i ²	ts r i ²
s r e ŋ ¹	s r e ŋ ¹
tsʰ w e n ¹	tsʰ w e n ¹
p u ²	p ɯ ²
χ ɯ ⁴	χ ɯ ⁴
sʰ i ²	s i ²
d j i ²	dʑ i ²
ts j j e n ⁵	ts j e n ⁵
tʲ ɛ ⁴	d ɛ ⁴
b æ n ⁵	b æ n ³
n ɔ ³	n ɔ ³
n j o n ²	ŋ j o ²
o ⁴	ɔ ⁴
d i ⁴	d i ⁴
ɣ a ŋ ¹	ɣ æ ¹
ɣ ɯ ¹	ɣ ɯ ¹
tɕʰ ə ⁴	tʰ e ⁴
d r ɯ ³	d r ɯ ³
x e n ¹	x e n ¹
ɣ u ²	t u ²
sʰ r ɯ ²	sʰ r ɯ ²
tʰ e	tʰ r e ⁴
qʰ u ²	qʰ u ²
dʑ æ n ³	dʑ æ n ³
b ɔ ¹	s ɔ ⁴
m æ ¹	m æ ¹
ŋ o ¹	ŋ o ¹
sʰ ɔ ¹	sʰ r ɔ ¹
m ɯ ³	m ɯ ⁵
ŋ o ¹	ŋ o ³
tɕ r e n ¹	tɕ e n ¹
tsʰ e ŋ ¹	tsʰ r e ŋ ¹
ɣ ɯ̃ ²	ɣ ɯ ²
ɣ o ⁵	g o ŋ ³
b ɛ ³	pʰ j ɛ ³
q ɛ ⁴	tsʰ w a ⁴
ɕ w e ⁴	ts w ɛ ⁴
j a ⁴	j a ⁴
b e ¹	b e ¹
qʰ w a ⁴	qʰ w a ⁴
n j e n ²	n j e n ¹
x w a ⁴	h w a ⁴
n w e n ¹	ʁ w e n ¹
p j e n ¹	p r e n ¹
l ɔ ¹	l a ¹
d r ɯ ¹	ʈ ɯ ⁴
d i ²	dʑ i ²
pʰ o ²	p j ɛ ²
q ɛ ¹	q ɛ ¹
s o ²	s u ŋ ²
tʲ a ⁴	d a ⁴
ts o ⁵	ts o ⁵
ts j a ³	tɕ a ³
ts i ²	ts i ²
b e ²	p ɛ ²
ʁ ɔ ŋ ¹	ʁ o ŋ ¹
q ɯ ²	ɣ ɯ̃ ²
q æ n ²	q æ n ²
q w ɛ ⁵	q w ɛ ³
qʰ ɔ ²	qʰ ɔ ²
n ŋ i ²	n j i ⁴
tʰ u ²	tʰ j u ²
d r o ŋ ¹	ʈ o ŋ ¹
qʰ e n ¹	qʰ e n ¹
q æ ⁴	q æ ⁴
d o ⁴	d r o ⁴
b o ¹	pʰ j u ŋ ¹
kʰ o ¹	qʰ o ŋ ¹
q a ŋ ¹	q a ŋ ¹
b ɔ ¹	b ã ¹
b r i ²	b r i ²
pʰ æ n ³	pʰ æ n ³
b i ¹	b r i ¹
sʰ w a ŋ ³	sʰ w a ŋ ³
n æ ¹	b j o ²
t ɛ ⁴	t ɛ ⁴
d ɯ ²	ʈ ɯ ²
tsʰ w a ŋ ²	tsʰ w a ŋ ²
q a ⁴	q æ ⁴
ɣ o ⁴	ɣ u ⁴
n o ŋ ⁵	n o ŋ ⁵
ts u ŋ ²	ts u ŋ ²
k ɯ ¹	k ɯ ¹
kʰ o ŋ ¹	kʰ u ŋ ¹
k w a ¹	k w a ⁴
m æ ŋ ²	m æ ²
d u ŋ ¹	ts u ŋ ¹
x æ ŋ ¹	χ æ n ¹
sʰ ɔ ³	sʰ ɔ ³
ɯ̃ ²	ɯ̃ ²
tsʰ o ³	tsʰ u ³
j ɛ ⁴	j ɯ ⁴
m i ¹	m e ¹
tsʰ e ²	tsʰ r e n ²
b o ŋ ²	b o ŋ ²
j e n ¹	j e n ¹
tʲ ɔ ¹	d ɔ ¹
j ɯ ⁴	j ɯ ⁴
ɣ æ ¹	ɣ æ ¹
s j e n ¹	s j e n ¹
tɕʰ æ n ¹	tɕʰ æ ¹
s e n ⁵	s e n ⁵
q æ n ¹	q æ n ¹
ɣ o ²	k r o ²
m ə ¹	m e ¹
k æ ⁴	k æ ⁴
ts r o ⁴	ts r o ⁴
tsʰ j i ¹	tsʰ j i ⁴
m æ ⁴	m æ ⁴
m ɛ ¹	m ɛ ¹
ɖʐ i ⁴	ɖʐ i ⁴
ŋ o ŋ ¹	z r o ŋ ¹
p æ ⁴	p æ ⁴
k ɔ ⁴	k o ⁴
ŋ ɔ ⁵	ŋ ɔ ³
ɣ ɯ ²	ɣ ɯ ²
m i ²	m i ²
ɕ o ⁴	ɕ o ⁴
h ɔ ⁵	h ɔ ³
j o ²	n j o ²
q ɯ ¹	q ɯ ¹
ɣ ɯ ²	ɣ ɯ ²
s j i ⁴	s j i ⁴
ɖʐ o ³	ɖʐ o ³
tsʰ i ³	tsʰ e ³
ts r o ŋ ²	ʈ s u ŋ ²
t æ n ¹	t æ ¹
ɕ w a ⁴	s w a ⁴
tsʰ ɯ ³	tsʰ ɯ ³
ɣ u ¹	ʂ u ¹
d r æ ⁴	ʈ æ ⁴
x w i ²	x w i ²
k u ²	k u ²
ɣ ɯ̃ n ³	g ɯ̃ ³
s r ɯ ²	sʰ r ɯ ²
dz o ⁴	dz o ⁴
p r æ ⁴	p r æ ⁴
tʰ a ⁴	tʰ a ⁴
ɖʐ i ²	ɖʐ i ²
n j o ŋ ⁴	ŋ j o ŋ ⁴
tʰ o ⁴	tʰ r o ⁴
sʰ w ɛ ⁴	sʰ w ɛ ⁴
b i ²	b r i ³
tʰ r o ŋ ¹	tʰ r o ŋ ¹
m j a ŋ ¹	m j æ ¹
ŋ w e n ¹	ŋ w e n ¹
t w ɛ ⁵	d w ɛ ⁵
p ɛ ¹	p j e ¹
kʰ o ŋ ¹	kʰ o ŋ ¹
d ɔ ¹	d r ɔ ¹
ɕ r a ⁴	ɕ a ⁴
g ɔ ¹	g ɔ ¹
s r e ¹	s r ɯ ²
d r a ŋ ¹	d r æ n ¹
t i ¹	tʲ ɯ ¹
p o ⁴	p j u ⁴
tɕʰ j æ n ¹	tsʰ j æ n ¹
ɕ i ²	ɕ w i ²
s i ²	s r i ²
tʰ e ²	tʰ j e ²
sʰ w a ŋ ¹	sʰ w a ŋ ¹
q æ ⁴	q æ ⁴
n j o ŋ ¹	n j o ¹
k ɯ ¹	k ɯ ¹
g ɯ ¹	g ɯ ¹
ŋ w e n ²	p r e n ¹
n j e n ²	n j e n ¹
m æ ŋ ²	m æ ²
b æ ⁴	b æ ⁴
b e ⁴	b ɛ ⁴
m ɛ ¹	m ɛ ¹
h ɔ ¹	h ɔ ¹
ts r e ŋ ¹	ts r e ŋ ¹
q o ŋ ¹	q o ŋ ¹
ɖʐ u ŋ ⁴	ɖʐ u ŋ ⁴
b ɛ ⁵	b j o ²
tsʰ o ŋ ⁵	tsʰ o ŋ ³
tɕʰ j a n ¹	tsʲʰ e n ¹
ɖʐ j a ⁴	b r æ ⁴
ʈ o ⁴	ʈ o ⁴
