b i ¹	b r i ¹
p r a ⁵	b a ŋ ⁴
ɣ ɯ ⁴	χ ɯ ⁴
ʈ w æ n ²	ʈ w æ n ²
tʰ r a ⁴	tʰ a ⁴
qʰ o ¹	qʰ u ¹
ts o ²	k r o ²
tsʰ o ŋ ¹	tsʰ u ŋ ¹
ʈ r e ¹	d r ɯ̃ ¹
tʰ i ⁴	tsʰ r i ¹
tʰ u ¹	tʰ r u ¹
p ɯ ²	p ɯ ²
j u ŋ ²	n j o ²
ɣ o ⁴	h a ŋ ⁵
m e ¹	m ɛ ¹
ɣ o ¹	kʰ u ŋ ¹
p r o ²	p ɛ ²
t w e n ¹	t w e n ¹
p e ²	b e ²
ʈ o ¹	d r o ŋ ¹
s a ŋ ¹	sʰ a ŋ ¹
ɣ r e n ¹	n j e n ¹
ɖʐ o ³	ɖʐ o ³
pʰ æ n ³	pʰ æ n ³
b æ n ³	b æ n ³
p r i ⁴	b r i ²
tɕʰ i ⁴	tɕʰ i ⁴
s u ŋ ³	s r o ⁵
s i ²	ɕ w i ²
s i ⁴	s j i ⁴
k o ⁴	k o ⁴
ŋ w e n ¹	ʔ w e n ¹
p æ n ²	p æ n ²
tʰ r æ n ¹	tʰ æ n ¹
s u ŋ ¹	s r o ¹
ɣ ɔ ŋ ³	ŋ ɔ ³
qʰ o ⁴	qʰ ɔ ⁴
t æ n ¹	t æ ¹
s e n ¹	s j e n ¹
j æ ¹	b j o ²
ts i ²	ts r i ²
tɕʰ i ⁴	tsʰ j i ⁴
tʰ u ²	tʰ j u ²
m e ¹	m i ¹
l ɔ ¹	l a ¹
tʰ r e ⁴	tʰ j e ⁴
p j o ³	pʰ j ɛ ³
s r e n ⁵	s r o ⁴
p r i n ¹	p r i ¹
j o ⁵	j ɔ ⁵
tɕ a ⁴	dʑ a ⁴
p ɯ ²	p u ²
tɕ i ¹	tɕ i ¹
d ɯ ³	d ɯ ⁵
q ɯ ¹	q ɯ ¹
ɣ o ŋ ¹	kʰ o ŋ ¹
k u n ¹	ɣ o ŋ ¹
p r e n ⁵	p r e n ⁵
tsʰ o ⁴	tsʰ o ⁴
n ɔ ³	n ɔ ³
ɣ o ²	t u ²
l o ŋ ¹	l o ŋ ¹
