b ɛ̠ ³	b j a̠ ³
g y ¹	g y ¹
k j a ŋ ²	ts u ²
tsʰ a ¹	tsʰ ɛ̠ ¹
ˀm e̠ ³	ˀm j e̠ ¹
ɣ i ¹	ɣ i ¹
kʰ i ¹	kʰ i ¹
n e̠ ¹	ˀn e̠ ¹
s u ¹	s u ¹
s ɛ ²	s ɛ ²
x a ²	x a ²
tʃʰ u ²	tʃʰ i ²
b i̠ ¹	p ɨ ¹
ʃ i ¹	ʃ i̠ ¹
ts a̠ ³	tʃ a̠ ³
n̩ ²	n u ²
k ¹ ²	k j o ²
tʃʰ i ²	tʃʰ i ²
m a ²	ˀm u ¹
k e ¹	tsʰ e̠ ³
ˀn i ¹	ˀn i ³
kʰ i ²	kʰ ɨ ²
a ¹	a ¹
b y ²	b y ²
b o ²	b a ²
b a ²	b a ²
tsʰ i ²	tsʰ ɿ ²
t ɛ ¹	t a ³
ɣ a̠ ³	ʃ a̠ ³
n e̠ ³	ˀn e̠ ³
tsʰ ɨ ¹	tsʰ y ¹
s a̠ ²	s a ²
k a ŋ ¹	x a ŋ ¹
l a ²	l a ²
l a ²	ˀl a ²
h ¹ ²	h y̠ ³
pʰ e̠ ³	pʰ i̠ ³
b i ¹	b ɨ̠ ¹
d i ¹	d i ¹
kʰ j y ²	kʰ o ²
p e ¹	p e ¹
d a ŋ ²	d u ²
b o ²	b o ²
dʒ a ŋ ¹	dʒ a ŋ ¹
p a̠ ³	p a̠ ³
l a ŋ ¹	l a ŋ ¹
kʰ a ³	kʰ a ³
s a ²	s a ²
pʰ e ²	v y ²
pʰ e ²	pʰ e ²
ɣ o̠ ¹	h e ¹
a ¹	a ¹
p a̠ ³	p a̠ ³
m i̠ ² ¹	m i ¹
p a ³	p a̠ ³
n y ²	n y ²
kʰ u ¹	kʰ u ¹
m ²	m̩ ²
s ɛ ²	s ɛ ²
x e ³	kʰ a ²
s ɛ̠ ³	s ɛ̠ ³
ɣ o ²	kʰ y ¹
n a ²	ˀn a ²
kʰ i ¹	kʰ i ¹
k ɛ ²	k j ɛ ²
ˀm e̠ ¹	ˀm e̠ ¹
k u ²	k j e ²
ɣ o ²	k j i ³
ˀm o ³	ˀm y̠ ¹
n a ¹	ˀn a ¹
g j u ³	g o ŋ ³
s e ²	s ɛ ²
tʃʰ a ³	t u ¹
ts i ²	ts i ²
ˀm e̠ ¹	ˀm j e̠ ¹
l a ²	l a ²
a ²	a ²
d u ¹	d u ¹
ɣ a̠ ¹	tʃ a ¹
t e ³	t i̠ ³
z a ²	z a ²
ˀn i ³	ˀn i ³
d ɛ ²	d ɛ ²
k e ²	k j ɛ ²
d a ²	d i ²
z a ²	z a ²
m a ²	m a ²
ˀm e ³	tʰ u ³
k j u ¹	k a ŋ ¹
n̩ ²	n̩ ²
tʃ a ŋ ¹	tʃ ɛ ¹
ˀm a ²	ˀm a ²
tsʰ a ŋ ¹	tsʰ a ŋ ¹
s e ¹	s e ¹
k o ³	k u ³³
g o̠ ³	g j o̠ ¹
ˀl u ¹	ˀl y ¹
l a ŋ ¹	l a ŋ ¹
pʰ e̠ ¹	pʰ e̠ ¹
l a ¹	l a ¹
pʰ e̠ ³	pʰ e̠ ³
l ɛ ¹	l ɛ ¹
l i ²	ˀl i ²
n i ¹	ɲ a ²
ɣ o ¹	ˀx a ¹
b a ŋ ¹	ˀŋ y ¹
tʃʰ ɛ ¹	tʃʰ ɛ ¹
h e ¹	h e ¹
n e ¹	n e ¹
tʃ i ³	ts i̠ ³
x e ²	dʒ ɛ ²
dz a ²	dz a ²
ʃ ¹ ³	ʃ ɨ̠ ³
b a ¹	g j a ¹
b a ²	b e ²
b a ³	b a ³
m ²	m o ²
ˀn i ³	ˀn i ³
k u ¹	k o̠ ³
b ɨ ²	b ɨ ¹
z e̠ ³	z e̠ ³
b o̠ ¹	b o̠ ¹
k u ²	k u ²
x a ¹	k u ³
a ²	a ²
t u ¹	t u ¹
g a ²	g a ²
ˀn i ³	ˀn i ³
l y ²	l y ²
b e̠ ¹	b e̠ ¹
g u ²	g o ²
b o ¹	b o ³
dz i̠ ²	dz i̠ ¹
p a̠ ³	p a̠ ³
l ¹ ³	l a ³
kʰ ɨ ³	kʰ ɨ̠ ³
n ɛ̠ ³	ˀn ɛ̠ ³
p ɨ ²	p j ɨ ²
b ɛ̠ ³	b j ɛ̠ ¹
tʃ ɛ ¹	tʃ ɛ ¹
tʃ ɨ̠ ¹	tʃ ɨ̠ ¹
b i̠ ³	dʒ i ²
m e ¹	m o ²
pʰ o ²	pʰ y ²
m o̠ ¹	m o̠ ¹
a ¹	a ¹
pʰ u ¹	pʰ u ³
m e ³	m ɛ ³
tʰ ² ³	tʰ u ³
m ¹ ²	m o̠ ³
ˀm a ³	ˀm a ³
s y ¹	s y ¹
g a ¹	g a ¹
a ¹	a ¹
ɣ u ²	ɣ a̠ ³
dz i̠ ³	ts i̠ ³
b y ¹	b e ³
a ¹	a ¹
k a ŋ ³	k a̠ ³
kʰ i ¹	kʰ i ¹
k i ²	tsʰ i ²
kʰ o̠ ²	k u ²
tʰ a ²	tʰ a ²
k a ³	k o̠ ³
t o̠ ²	t u ³
s i̠ ²	s i̠ ¹
d i ¹	d i ¹
ɣ ¹ ¹	l y ³
dʒ a ŋ ¹	dʒ a ŋ ¹
a ²	a ²
kʰ o̠ ³	kʰ o̠ ³
kʰ u ¹	kʰ u ¹
s i ¹	s i̠ ¹
g u ¹	g o̠ ¹
l y ³	ˀl y̠ ³
a ¹	a ¹
p o ¹	p y ¹
tʰ e̠ ³	tʰ e̠ ³
ɣ ɛ ²	ɣ ɛ ²
a ¹	a ¹
ʒ o̠ ³	ʒ o̠ ³
b u ¹	ˀn i ¹
tʰ e ²	tʃʰ ɛ ²
x i ¹	x e ¹
l a ³	l a ²
v a ²	v a ²
x a ³	ˀx a ³
ɲ ³ ¹	ˀn i ¹
ˀl o̠ ¹	ˀl o̠ ¹
kʰ a ²	kʰ a ²
g a ¹	g i ¹
v e̠ ³	v e̠ ³
b u ²	pʰ u ¹
s a ²	s a ²
pʰ e ³	pʰ i̠ ³
n a ²	ˀn a ²
tsʰ i̠ ¹	tʃʰ i̠ ³
s i ¹	s i̠ ¹
s ²	n i ²
n e̠ ¹	n i̠ ¹
a ¹	a ²
ʃ a ¹	ʃ a ¹
ɣ i ¹	ɣ a ŋ ¹
t a ³	t a ³
x a̠ ³	x a̠ ³
tsʰ i ²	tsʰ ɨ ²¹
kʰ o ¹	kʰ o ¹
g u ³	tʰ e̠ ³
k a̠ ³	k a̠ ³
kʰ ɛ ³	kʰ ɛ ²
tsʰ ɿ ¹	tʃʰ ɨ ¹
p ɨ ²	p ɨ ²
t a ŋ ¹	t a ŋ ³
kʰ u ¹	kʰ u ¹
ʃ a̠ ³	ʃ a̠ ³
n a̠ ²	ɲ a̠ ³
a ¹	a ¹
ŋ w a ¹	ŋ a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
l o̠ ¹	l u ¹
t i ³	t e ²
ˀn e̠ ¹	ŋ j a̠ ¹
ˀl y ¹	ˀl y ²
ˀl y ¹	ˀl y ³
k ɛ ¹	k ɛ ¹
v e ¹	v e ¹
ɣ u ³	s e ³
p a̠ ³	p a̠ ³
l a ²	l a ²
d e̠ ¹	d e̠ ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
g u ¹	g a ¹
tʃʰ e ¹	kʰ j e ¹
ts a ³	tʃ a ³
b o ¹	b o ¹
a ¹	a ¹
x e ¹	ˀx y ¹
u e ²	n i ²
v e̠ ³	v e̠ ³
p y ²	p y ²
l a ²	l a ²
p u ³	p a̠ ³
a ¹	a ¹
pʰ ɛ ¹	pʰ ɛ ³
ˀn e̠ ²	n e ²
kʰ o̠ ¹	kʰ j y ¹
b a ŋ ²	b j a ²
a ¹	a ¹
m u ¹	m o ²
tʰ u ²	tʰ a ²
p a̠ ³	p a̠ ³
z ɛ ²	s u ¹
v e̠ ³	v e̠ ³
b ¹ ¹	d u ¹
s a ¹	s a ¹
n e̠ ¹	ˀn i̠ ¹
v a̠ ²	v a ²
p a ¹	p a ¹
b y ¹	b y ¹
ɣ i ¹	ɣ i ¹
s a ²	s a ²
t a ³	d a ²
a ¹	a ¹
a ¹	a ¹
kʰ u ²	kʰ ɨ̠ ¹
ˀm e ³	d e̠ ³
ˀl u ²	l u ²
m i̠ ¹	ˀm j y̠ ¹
g u ¹	g u ³
kʰ i ¹	kʰ i ¹
s e ¹	ʒ a ¹
dʒ y ¹	dz y ¹
a ²	a ²
s a ¹	s a ¹
l e̠ ³	l e̠ ³
tsʰ a ¹	tsʰ a ¹
k o ¹	k j o ¹
ˀm e̠ ¹	ˀm j e̠ ¹
t e̠ ¹	t i̠ ¹
k y ²	k a ŋ ²
ts a ³	tʃ a ³
n y̠ ³	ˀn y̠ ³
l e̠ ³	l e̠ ³
ts e ¹	ts e ¹
kʰ a̠ ²	kʰ a ŋ ²
n a ¹	ˀn a ¹
m e̠ ³	ˀm e̠ ³
a ¹	a ¹
b o ²	b i ²
a ¹	a ¹
kʰ a ²	kʰ a ²
b a ŋ ¹	n u ²
m u ¹	m o ¹
m i̠ ²	m ɨ ²
a ¹	a ¹
dz a ¹	dz a ¹
ɣ i ³	ɣ ɨ ³
b i ¹	ɣ i ¹
b i ²	ɣ e̠ ¹
n a̠ ³	ˀn u̠ ³
pʰ a ²	pʰ a ²
dz a ŋ ¹	dz a ŋ ¹
v e̠ ³	v e̠ ³
ˀm ɛ ¹	ˀm ɛ ¹
ɲ e̠ ¹	n i̠ ¹
b y ²	b y ²
n u ¹	n u̠ ¹
l a ¹	l a ¹
l a ²	l a ²
z a ²	z a ²
pʰ a ¹	pʰ j a ¹
ʃ i ³	ʃ i̠ ¹
d u ¹	d u ¹
pʰ o ²	pʰ u ²
d e̠ ¹	d e̠ ¹
d y ²	d y ²
kʰ u ²	kʰ u ²
s e ¹	s e ¹
x e̠ ³	ʃ e̠ ³
dʒ i ²	dz i ²
tʃ i̠ ³	tʃ ɛ̠ ³
d o̠ ¹	d o̠ ¹
l a ²	l a ²
e ²	e ²
dz i ¹	dz e ¹
l a ³	l a ³
b o̠ ¹	b o̠ ¹
g ɛ̠ ¹	g ɛ̠ ¹
x i ³	x ɨ̠ ³
k i ¹	k i ¹
ʃ a ³	ʃ a̠ ³
ɲ ¹ ²	n a ²
b o̠ ²	p a̠ ³
t a ŋ ¹	t a ŋ ¹
dz i̠ ¹	dz e ¹
b y̠ ³	b y̠ ³
a ²	a ²
k e ¹	k ɛ ³
k a ²	k a ŋ ¹
x y ¹	x y ¹
ɣ ¹ ³	ʃ ɨ̠ ¹
pʰ a̠ ²	pʰ a ²
b o̠ ³	k u ³
ɣ a ¹	x a ¹
p a ŋ ¹	b a ŋ ²
tsʰ a̠ ¹	ŋ j a̠ ¹
x ¹ ²	x a̠ ³
dz i ²	ŋ i ²
m a ³	m a ³
l i ³	ˀl i̠ ³
pʰ a ŋ ¹	pʰ j a ¹
h o̠ ¹	h e ¹
pʰ i ²	pʰ e ²
b ɛ ¹	b ɛ̠ ¹
kʰ ɛ̠ ³	kʰ ɛ̠ ³
l a ²	l a ²
h o̠ ¹	h e ¹
d a ŋ ¹	d a ŋ ¹
ɣ ɛ ²	ɣ ɛ ²
tsʰ a ¹	tsʰ a ŋ ¹
kʰ o̠ ¹	kʰ o̠ ¹
ˀm u ²	m u ²
v a ŋ ²	v a ŋ ²
tsʰ e ¹	tsʰ e ¹
a ²	a ²
p i ¹	p u ¹
ts a ³	ts a ³
h a ŋ ²	h a ŋ ²
ɣ i ¹	ɣ i ¹
v u ²	v i ²
t o̠ ³	d o̠ ³
n a ²	n a ²
g o ²	g u ²
