d a r d a r	d a r d a r
ɬ m	ɬ j m
d qˤ ʃ	d g ʃ
m θ l	m θ l
qˤ qˤ r	qˤ r r
ħ w b	ħ u b b
θ a p r	θ a p r
ɣ d r	ɣ d r
w a r i k	w a r i k
n θ k	n θ k
ʃ u m	ʃ m
k w s l	k s l
ɣ tˤ w	ɣ tˤ w
ʔ u m m	ʔ i m m
b a r qˤ	b a r a qˤ
ɬ m m	ʃ
z m r	z m r
l	l a ʔ a j a t
l a m ɬˤ	l a m θˤ
ʔ a m a t	ʔ a m m a t
k i b	k b w
b r j	b r j
g n n	g n n
a sˤ	x a m
b l tˤ	b l tˤ
p a θ n	b a θ a n
x tˤ r	x u tˤ r
m t	m w t
ʔ r a ʃ	ʔ r ʃ
ʔ i m r	ʔ i m m a r
d i b ʃ	d i b ʃ
h w m	h m
p r r	p r r
ʕ a θˤ m	ʕ a θˤ m
ʕ a qˤ i b	ʕ a qˤ i b
r ɬ r	ɬ r ɬ uː r
ʃ l x	ʃ l ħ
ħ k k	ħ k k
l i ʃ aː n	l i ʃ aː n
ʔ a ʃ l	ʔ a ʃ a l
ħ a l ʔ	ħ
b r qˤ	b r qˤ
ħ a r ð w n	ħ r d
sˤ a w r	sˤ a w a r
t x x	t x x
m ɬ tˤ	m s
ɣ p r	ɣ p r
ʕ b qˤ n	ʕ a b a qˤ
t i l l	t l l
d r	h d r
ʃ a m a j	ʃ a m a j
ʔ x ð	ʔ x ð
m i ʕ j	m ʕ a j
θˤ l m	θˤ l m
ʃ tˤ	s ħ
ð k uː	ð
ɬ m	ɬ m
g b b x	g b x
n b	n uː b
n a p ʃ	n a p a
k a l	k a l
s s	s aː
ħ l qˤ	ħ l qˤ
s k t	ʃ k t
b a j t	b a j t
ɣ b ɣ b	ɣ a
l a b ʔ	l a b ʔ
p r m	p r m
qˤ	qˤ a j ɬ
ʕ ʃ t	ʕ a ʃ t
p l ħ	p l ħ
h w j	h w j
n a sˤ ɬˤ	n a
ʔ aː t	ʔ a j a t
d ʃ	d ʃ m
n k	n j k
ɣ l p	ɣ l p
