h a a m ɨ n a	m ɨ n a
n n ɨ	n a n ɨ
s i k	s i k a
t a	t a
j a k a	j a k a
m a j u r ɨ	m a j u r ɨ
m u s	m u s a
h u m a	h u m a
n a k ɨ	n a k ɨ
ɨ n ɨ r u	ɨ n ɨ r u
p e k i r i	p e k i r i
a w r ɨ	h ɨ w ɨ
k a p e t a	k a p e t a
r a p ɨ t a	r a p ɨ
k e r ɨ	k e r ɨ
p i n i	p i n i
i w k a	h ɨ w a k a
p ɨ t a a n a	p ɨ t a h a n a
a k ɨ r o	a k ɨ r o
h i n o r ɨ	h ɨ n o
m e k a k i	m e k a n i
p u r ɨ	p u r ɨ
ts ɨ n a	ts ɨ n ɨ
ɨ r ɨ	h ɨ r ɨ
h e k u r u	h e k u r u
m u j u	m u j u
w a r a	w a r a
h a m e	h a m e
t i n ɨ	t e n ɨ
m e k ɨ	m e k ɨ
t a	t a
h ɨ p u	h ɨ p u
k	k a
h i r a r ɨ	h i r a r ɨ
ts e r ɨ	ts e r ɨ
i k r e	tʃ i k a r e
k u p a r ɨ	k u p a r ɨ
p u k u	p u k u
m a n i	m a n a h i
t e n a	t e n o
t u k a ts i	a t u k a ts i
n a m a	n a m a
h e r u t ɨ	h e r u t ɨ
k a t u k a	s a t u k a
k	k a
k u t a	k u t a
s i m a	s i m a
k e m a	k e m a
p ɨ m a r ɨ	p ɨ m a r ɨ
o k	h o k a
u r i	p u r i
h u p a s i r i	h u p a i
h i r e k a	h i r e k a
p o	h a p o
t a	t a
k a t a t u	k a t a t u
r o	r o
n i k u r u k a	n i k u r u
j u k i	j u k i
k u t a r ɨ	s u t a r ɨ
k ɨ w a	s ɨ w a
k ɨ t u	s ɨ t u
k i s i	m ɨ s i
r ɨ	r ɨ
j a ts i	j a ts i
j u t u r a	j u t u r o
a p a	a p a
e p ɨ r a	e p ɨ
p t i ɨ	p a t ɨ
m a p a	m a p a
h i p e t ɨ	h i p e t ɨ
h u r i	h a
p a r i k a r e	p a r i k a r e
k a ts i t ɨ	k a ts i t ɨ
m a k a r a	m a k a r a
k e n ɨ	k e n ɨ
e r i a	h ɨ r a
k a k ɨ t ɨ	k a k ɨ t ɨ
k a m a r a	k a m a r a
p i k a	p i k a
h a t i n ɨ	h a t ɨ n ɨ
a n i k a	a n i k a
o k ɨ	h o k ɨ
k u n e h a	k u n u h a
m a n a	m a n e
ts o m i	ts o m i
k a n a w a	k a n a w a
k a ts u a r ɨ	k a ts u p a r ɨ
m a a	m a p a
p o	p o
h a k i u	h a n i j u
u p a n a	h u p a n a
t u k a n a	t u k a n ə
ts i k u t ɨ	ts i k u t ɨ
p ɨ n a	p ɨ n a
p a t a	p a t a
h e p i	h e p i
ɨ p n a	ɨ p ɨ n a
t a r a	t a r a h a
k u n a	k u n a
ɨ m k a	ɨ m a k a
p u r u	p u r u
ts i n a	ts i n a
ɨ m a	ɨ m a
k i a	k i p a
k a a i r i	k a s i r i
a k a p a	a k a p a
h i ts u	h i ts u
h a p i ɨ r ɨ	h a p ɨ k ɨ r ɨ
n a n i	n a n i
h i n a	h i n a
n a k a	n a k a
k ɨ p a r ɨ	k ɨ p a r ɨ
m a t a	m a t a
h ɨ t ɨ	h ɨ t ɨ
n i k a	n i k a
p a n a	p a n a
e p ɨ r ɨ	e p ɨ
k a p a	k e p a
m u t u	m u t u
p a ts e j a	p o ts e j a
j u ts a	j u ts a
p u p e r i	p u p e r i
ɨ k ɨ k n ɨ	ɨ k ɨ n ɨ
k i w e j u r ɨ	s i w e j u r ɨ
p a w a	p a w a
ts i	ts i
k i ts u	s i t u
a k ɨ	h a k ɨ
p ɨ r	p ɨ r a
t a k a	t a k a
a p ɨ	h a p ɨ
k u ts i	k u ts i
a n o	h a n o
e r o k a	e r o k a
t ɨ r ɨ	t ɨ r ɨ
a t u k ɨ r ɨ	a t u k ɨ r ɨ
t a p a r i	t a p a r i
k a j u k ɨ r ɨ	k a j u k ɨ r ɨ
s i j u	s i j u
k i k i	s i
a w a	a w a
k e m a	k e m a
ts u r u	t u r u
k i t i	k i t i
n a t u	n a t u
h ɨ m e n ɨ	h ɨ m e n ɨ
j u k a n a	j u k a n a
p a r u	p a r u
p i t i	p i t i
s ɨ p ɨ r ɨ	s ɨ p ɨ r ɨ
ts o a t a	ts o p a t a
m e k a k i	m e k a n i
r o	r o
k a j a t ɨ	k a j a t ɨ
s a n ɨ	s a n ɨ
h u n ɨ	h u n ɨ
k a n a	k a i n a
e t a	e t a
