g a t ⁴	ˀk a t ⁴
ˀt p ¹	ʔ a p ⁴
ˀt u ²	d ʊ ²
g j a ³	g j a ³
ˀt a t ⁴	d a t ⁴
m j u k ⁴	m j u k ⁴
k u ²	k o ²
a k ⁴	r a k ⁴
ŋ j a k ⁴	ŋ j a k ⁴
l i ²	l i ²
i ¹	ʔ ʊ ¹
b j i ŋ ⁴	b r i ŋ ³
ŋ j a t ⁴	ŋ j a t ⁴
g r i ²	g r a ²
ŋ a ²	ŋ a ²
k a t ⁴	ˀts a t ⁴
g a ŋ ¹	g a m ¹
p i ŋ ³	t i ŋ ³
k a ŋ ŋ ¹	s a ŋ ¹
m j a ²	m j a ²
k i ²	dʒ a ²
b j a ⁴	b j a k ⁴
m a k ¹	m a k ⁴
p j a p ⁴	ˀp j a t ⁴
k a p ⁴	k a p ⁴
i a ¹	w a ¹
k j u ŋ ²	k r u ŋ ²
ˀl a ⁴	l a ³
k a m ¹	ʔ a m ¹
k a ⁴	k a m ¹
s i k ⁴	s u t ⁴
a a ¹	ʃ a ¹
ts i ¹	ˀts ai ¹
j u k ¹	ˀj u k ⁴
ˀs a ³	s ɛ ³
ts u ²	ˀts u ²
tʃ a ŋ ¹	d a m ¹
p r i ²	ˀk j u ³
b r i ŋ ¹	b r i ŋ ¹
l a ŋ ³	l a ŋ ³
m i k ⁴	m i k ⁴
ts a ¹	ts a m ¹
a m ³	w a m ³
ts i ¹	tʃ i ¹
g u ²	g u ²
m i ²	n e ²
k a ²	k a ²
ˀl a ŋ ŋ ²	l a ŋ ²
ˀs u ²	ˀr o ²
j a ¹	k r a ¹
m e ⁴	m i ³
p a p ⁴	tʃ a k ⁴
j i p ⁴	j i p ⁴
b j i ²	ˀp r ɛ ²
g a ŋ ŋ ²	g a ŋ ²
b i m ¹	b u m ¹
ˀl a ²	l a ²
ˀt a ŋ ŋ ⁴	d a ŋ ²
g a ¹	ʔ a ¹
u ŋ ²	ʔ u ŋ ²
k j u ²	k j u ³
p i k ⁴	p i k ⁴
ˀt a k ⁴	ˀt i k ⁴
p j a ³	p j ɛ ³
g a ¹	dz a ¹
tʃ u d ⁴	ˀts u t ⁴
n a ¹	n ɛ ¹
b j u ¹	ˀp r o ¹
n i ⁴	n i ³
ˀl ai ¹	ˀl ai ¹
dʒ a p ⁴	ˀtʃ a p ⁴
ˀt a ŋ ŋ ³	tʃ a ŋ ³
k i ⁴	k a t ⁴
ŋ a p ⁴	ˀŋ a p ⁴
ŋ a ŋ ¹	ŋ a n ¹
m j i ŋ ¹	m r i ŋ ¹
j a k ⁴	ˀj i k ⁴
ˀk i ¹	ˀk a m ¹
k j a p ⁴	k j a p ⁴
b a n ²	b a n ²
ˀr i ŋ ¹	ˀr i ŋ ¹
k i ¹	ʃ a m ¹
m j u ¹	m j u ¹
j a m ²	j a m ²
ˀt a k ¹	ˀt a k ⁴
j a k ⁴	j a k ⁴
g i n ²	dz a n ²
m j a ŋ ŋ ²	m j a ŋ ²
m a ²	ʃ a ²
ˀl a p ⁴	ˀl a p ⁴
b i ŋ ³	b i ŋ ³
m u ¹	m u ¹
p i ²	b i ²
b i p ⁴	b u p ⁴
k i ²	tʃ i ²
g u k ⁴	g u k ⁴
p a ²	s ɛ ²
k j a ŋ ŋ ³	k j a ŋ ³
ˀp a ²	ˀp a ²
ˀm ai ²	m ai ²
p j u ¹	p r o ¹
g r e ²	g r e ²
ˀt i ŋ ³	ˀt i ŋ ³
ˀr a ¹	s a m ¹
dʒ a k ⁴	dʒ a k ⁴
a i k ⁴	ˀs a k ⁴
dz a ²	dz a ²
p a ŋ ŋ ¹	p a ŋ ¹
n a ⁴	n ai ¹
k j i m ²	g j a m ²
ʃ i ¹	ʃ i ³
j i ŋ ²	s i ŋ ²
b i ¹	b ui ¹
j u k ⁴	r u k ⁴
a ŋ ¹	w a ŋ ¹
j a p ⁴	j a p ⁴
r o ¹	r o ¹
m i ⁴	ˀtʃ a k ⁴
k i n ²	g a n ²
ˀs i u ⁴	ˀs u t ⁴
ˀs u ²	ʃ o ²
u ¹	w ai ¹
ˀt i ŋ ²	d i ŋ ²
b a ³	b a ³
ˀs a n ²	s a n ²
a ŋ ²	t a ŋ ³
ŋ j a ŋ ŋ ²	j a ŋ ²
l i ŋ ²	l i ŋ ²
ˀs i ²	ˀs ai ²
g j a p ⁴	ˀk j a p ⁴
ˀn a p ²	n a p ⁴
dʒ i ²	dʒ ui ²
ŋ u ¹	ŋ u ¹
a ŋ ŋ ¹	ʃ a ŋ ¹
g j a ¹	g j ɛ ¹
p a a ⁴	b j ɛ ¹
t a ŋ ²	t a ŋ ²
ˀs i ²	ʃ e ²
k a ¹	ʃ ɛ ¹
ˀn u ³	n u ³
g a ŋ ŋ ¹	g a ŋ ¹
ˀk a k ⁴	k a k ⁴
m a ŋ ŋ ³	m a ŋ ³
ŋ a n ¹	ˀŋ a n ¹
m a ŋ ²	m a ŋ ²
l a m ¹	l a m ¹
b j a ¹	b r ɛ ¹
i a t ⁴	tʃ a p ⁴
ˀm i ²	m e ²
t a ŋ ŋ ¹	t a ŋ ¹
m a ⁴	m a ³
a m ¹	w a m ¹
d a k ⁴	d a k ⁴
b i k ⁴	b i k ⁴
m a n ³	m a n ³
g r a k ⁴	g r a k ⁴
m i ŋ ¹	m i ŋ ¹
k e ŋ ¹	dʒ i m ¹
d o ²	d o ²
ˀp a d ⁴	ˀp a t ⁴
m a ²	m a t ⁴
n a m ²	n a m ²
k i ²	d ai ²
j a ¹	j a ¹
g j a ²	g j a ²
ˀtʃ u ²	ˀɲ u ²
b j a ŋ ŋ ¹	b j a ŋ ¹
k r a ŋ ŋ ¹	k j a ŋ ¹
s i k ⁴	s i k ⁴
b a k ⁴	ˀp i k ⁴
g j a ⁴	g r a ³
ˀk j a k ⁴	ˀk j a k ⁴
b j i ²	b j e ²
n i k ⁴	n i k ⁴
d u ŋ ¹	d u ŋ ¹
b j a ŋ ¹	b j a m ¹
j a m ¹	j a m ¹
ˀl i k ⁴	l i k ⁴
j i m ¹	ˀj i m ¹
p a k ⁴	p a k ⁴
k ai ²	k ai ²
ˀtʃ i ³	ˀt i ³
p j a ¹	p j a ¹
b a n ¹	b a n ¹
ˀt a ²	ˀt a ²
p j i k ⁴	b j i k ⁴
ˀn a ¹	ˀn a ¹
ˀt u ¹	d u ²
ˀn a ŋ ¹	n a ŋ ¹
m a k ⁴	w a k ⁴
ŋ a k ⁴	ŋ a k ⁴
ts a ²	ts a ²
l a k ⁴	l a k ⁴
p a p ⁴	ˀr a k ⁴
p a ¹	ˀŋ a ¹
g ŋ i k ¹	g i k ⁴
r i ⁴	ˀn i k ⁴
ˀl i m ⁴	l u m ¹
k j i ¹	ˀk j ai ³
g a k ⁴	ˀk i k ⁴
k j i k ⁴	k j i k ⁴
ˀt i ⁴	ˀt a ³
ˀk r u k ⁴	ˀk r u k ⁴
u ²	ʔ ʊ ²
u p ⁴	w a p ⁴
ˀt a p ⁴	d a p ⁴
m i ¹	n i ¹
p j e ŋ ¹	b j i ŋ ¹
ŋ u ¹	ɲ u ¹
ʃ u k ⁴	ʃ u k ⁴
ˀp r i ⁴	b j a ¹
t u ŋ ²	t u ŋ ²
m i ŋ ¹	dz i ŋ ¹
j u k ⁴	j u k ⁴
ˀk a k ⁴	ˀk a k ⁴
