sʰ a ŋ ¹	sʰ a ŋ ¹
s w a n ¹	s w a ŋ ²¹
p æ ⁴	p æ ⁴
p j ɛ ³	pʰ j ɛ ³
x w a ⁴	h w a ⁴
tɕʰ æ n ¹	tɕʰ æ ¹
b e ¹	b e ¹
ŋ r o ⁴	b j o ⁴
x ɯ ⁴	χ ɯ ⁴
b æ n ³	b æ n ³
g ɯ ¹	g ɯ ¹
s i ²	s j i ²
ŋ j e n ¹	n j e n ¹
p e ²	p ɛ ²
ŋ ɯ ⁴	tʰ ɯ̃ ⁴
d ɯ ¹	d j ɯ ¹
q a ŋ ¹	q a ŋ ¹
pʰ æ n ³	pʰ æ n ³
t w e n ¹	t w e n ¹
ts j æ n ¹	tɕ æ ŋ ¹
g o ⁵	g o ŋ ³
ɖʐ o ³	ɖʐ o ³
tɕ j e n ¹	tɕ e n ¹
n u ¹	n o ŋ ³
tɕ r e n ¹	p r e n ¹
ŋ o ¹	pʰ j u ŋ ¹
pʰ e ¹	pʰ e ¹
sʰ w a ⁴	sʰ w a ⁴
ŋ ɯ̃ ¹	ŋ ɯ ¹
q w a ⁴	ɣ w a ⁴
ʈ u ⁴	ts r o ⁴
q æ ⁴	q æ ⁴
χ o ⁴	χ ɯ ⁴
w e n ¹	ʁ w e n ¹
j a ⁴	j a ⁴
qʰ o ⁴	qʰ ɔ ⁴
p r a ŋ ⁵	b a ŋ ⁴
qʰ r æ ¹	qʰ w æ ³
ŋ u ⁴	tʰ r e ⁴
r o ⁴	j ɔ ⁴
sʰ r ɔ ¹	sʰ r o ŋ ¹
b ɔ ³	b ɔ ³
qʰ u ŋ ¹	qʰ o ŋ ¹
pʰ ɯ ¹	pʰ ɯ ¹
tʰ o ŋ ¹	tʰ r o ŋ ¹
ɖʐ o ⁴	ɖʐ o ⁴
p u ²	p u ²
sʰ i ¹	sʰ r e ŋ ¹
q æ ⁵	q æ ⁵
qʰ a ⁴	qʰ a ⁴
m u ŋ ²	m ø ²
d o ¹	d r o ŋ ¹
q æ n ²	q æ n ²
ɕ i ⁴	ʔ o ⁴
b i ²	b e ²
tɕʰ i ³	tsʰ e ³
s e n ⁵	s e n ⁵
q æ ⁴	q æ ⁴
ɕ r æ n ¹	s j æ n ¹
k w e ¹	k w ɛ ¹
tsʰ j ɛ ²	tsʰ r e n ²
tʰ j i ²	tʰ j e ²
sʰ o n ⁵	s r o ⁴
d ɯ ³	tsʰ ɯ ³
tɕ i ⁴	d i ⁴
ʈ o ⁴	ʈ o ⁴
ts r i ¹	ts r e ŋ ¹
d ɔ ⁵	d ɔ ⁵
k u n ¹	ɣ o ŋ ¹
sʰ ɯ ²	sʰ r ɯ ²
p i ¹	b r i ¹
d ɔ ¹	d o ŋ ¹
ŋ w a ⁴	ŋ w a ⁴
ts w i ⁴	ts w ɛ ⁴
d u ŋ ¹	ts u ŋ ¹
tʰ i ⁴	tsʰ r i ¹
ɕ o ŋ ¹	ɕ o ŋ ¹
d e ⁴	d r ɛ ⁴
n e ⁴	n e ⁴
m ɯ ⁴	m ɯ ⁴
m u ⁴	m ɔ ⁴
ts a ³	tɕ a ³
d ɛ ⁴	d ɛ ⁴
pʰ a ¹	pʰ a ¹
ɕ r a ⁴	pʰ r a ⁴
ɕ ɔ ²	ɣ ɔ ¹
ɖʐ i ⁴	ɖʐ i ⁴
ts r i ¹	ts r i ¹
s i ²	s r i ²
m ɯ ²	m ɯ ²
ɕ a ŋ ¹	ʁ a ŋ ¹
tɕʰ e ⁴	tʰ e ⁴
j e n ¹	j e n ¹
l o ŋ ¹	l o ŋ ¹
ts i ²	ts i ²
d ɯ ¹	d j ɯ ¹
ɕ u ŋ ¹	kʰ o ŋ ¹
ʈ ɯ ²	ʈ ɯ ²
j o ⁴	j ɯ ⁴
ŋ r i ²	b j o ²
ɕ i ³	z ɯ ³
m æ ²	m æ ²
tɕʰ j e n ¹	tsʰ j e n ¹
p u ²	p ɯ ²
ŋ ɔ ³	ŋ ɔ ³
ʈ ɯ ²	dʑ ɯ ²
k u ²	k u ²
m i ²	m i ²
tʰ j e ²	tʰ j e ²
ɕ u ⁴	ɕ o ⁴
ts o ⁴	ts o ⁴
ɣ a ¹	ɣ æ ¹
tɕ i ¹	tɕ u ¹
ʈ ɔ ¹	d r ɔ ¹
ɕ r æ ²	ɕ a ⁴
tɕʰ u ¹	tsʰ j i ¹
p r e n ¹	p r e n ¹
p r æ ⁴	p r æ ⁴
ŋ o ⁴	p j u ⁴
p i n ²	p r i ¹
ʈ o ²	ts r ɔ ²
ɣ ɯ ²	ɣ ɯ ²
k a ŋ ¹	k a ŋ ¹
q u ŋ ¹	q o ŋ ¹
ʈ u ⁴	ʈ o ⁴
p r a ⁴	b r æ ⁴
ŋ w æ j ⁵	ŋ w æ ⁵
z ɛ ¹	z e n ¹
p i ²	b r i ²
d i ¹	m i ¹
tɕ r ɯ ²	tɕ ɯ ²
ɣ ɯ̃ ²	ɣ ɯ ²
m æ ⁵	m æ ⁵
ɕ ɯ ⁴	ʁ ɯ ⁴
s j e n ¹	s j e n ¹
m i ¹	m e ¹
s i ²	s j i ²
t e ⁴	t ɛ ⁴
r o ¹	b j o ⁴
tʰ u ³	tʰ r u ³
dʑ j æ n ³	dʑ æ n ³
ɕ w i ²	s w a ⁴
qʰ u ŋ ¹	kʰ u ŋ ¹
g ɔ ¹	g ɔ ¹
m r æ ¹	m j æ ¹
s r i ⁴	s r i ⁴
j ɔ ⁴	j ɔ ⁵
ŋ j e n ⁴	n j e ⁴
χ w i ²	x w i ²
m o ¹	m ɔ ¹
n u ¹	n j o ŋ ¹
n i ¹	n j i ⁴
d i ¹	dz i ¹
s j e n ¹	s j e n ¹
sʰ æ ²	s r e ŋ ²
dʑ i ³	d i ³
t æ ⁴	t æ ŋ ⁴
tʰ r o ⁴	tʰ r o ⁴
ɕ w a ŋ ²	tsʰ w a ŋ ²
d o ŋ ²	d j o ŋ ²
d o ²	b j o ²
d w o ¹	x w a ¹
tʰ r i ¹	tsʰ r e ŋ ¹
j o ŋ ²	n j o ²
sʰ r ɯ ²	sʰ r ɯ ²
tɕʰ i ⁴	tsʰ j i ⁴
d o ⁴	tsʰ o ⁴
s ɔ ²	s ɔ ²
ŋ u ³	ŋ o ³
ʈ u ²	ɖʐ u ŋ ²
d r ɯ ¹	d r ɯ ³
ʈ o ŋ ¹	d r o ŋ ¹
b ɔ ¹	b ã ¹
d u ³	tsʰ u ³
tʰ æ ⁴	tʰ r æ ⁴
ɣ æ ⁴	ɣ æ ⁴
ɣ o ²	k r o ²
r ɯ ⁴	j ɯ ⁴
ŋ j i ²	n j i ²
ʈ u ŋ ²	ʈ s u ŋ ²
d ɯ ³	d ɯ ⁵
ts i ²	ts i ²
q æ n ¹	q æ n ¹
q w ɛ ⁵	q w ɛ ³
ɖʐ r o ⁴	ɖʐ o ⁴
ʈ u ŋ ¹	d r o ŋ ¹
l ɔ ¹	l a ¹
ɕ ɔ ¹	z ɔ ¹
b ɯ ¹	b ɯ ¹
qʰ æ ⁴	qʰ æ ⁴
m e ²	m ə ²
sʰ i ⁴	s ɔ ⁴
r a ⁴	j a ⁴
s u ŋ ³	s u ŋ ³
m e ⁵	m ɛ ⁵
ɕ u ¹	ʂ u ¹
p i ²	p e ¹
x e n ¹	x e n ¹
d u ²	p u ²
ɖʐ i ⁴	ɖʐ i ⁴
ɕ r i ²	ɕ w i ²
ɖʐ r a ⁴	b r æ ⁴
sʰ w a ⁴	sʰ w a ⁴
m r æ ²	m j æ ¹
t i ¹	tʲ ɯ ¹
sʰ w ɛ ⁴	sʰ w ɛ ⁴
qʰ w a ⁴	qʰ w a ⁴
n o ŋ ¹	n o ŋ ¹
ɣ ɛ ⁴	tsʰ w a ⁴
m ɯ ŋ ⁴	m ɯ ⁴
b a ⁴	b a ⁴
b u ²	b ɯ ²
