tsʰ u ŋ ¹	tsʰ u ŋ ¹
kʰ r o ²	kʰ r o ²
s r ɯ ²	sʰ r ɯ ²
b r i ¹	b r i ²
d ɔ ⁵	d ɔ ⁵
pʰ æ ⁴	pʰ æ ⁴
ts j j e n ⁵	ts j e n ⁵
q w a ⁴	q w a ⁴
j e n ¹	j e n ¹
ɖʐ w e n ⁵	ɖʐ w e n ⁵
p j ɛ ¹	p j e ¹
p u ²	p ɯ ²
tɕ i ¹	tɕ i ¹
pʰ ɯ ¹	pʰ ɯ ¹
pʰ r æ ⁴	pʰ r a ⁴
ts r i ¹	ts r i ¹
o ⁵	j ɔ ⁵
qʰ o ⁴	qʰ ɔ ⁴
b æ ⁴	b æ ⁴
n ɔ ³	n ɔ ³
d o ŋ ²	d j o ŋ ²
ts i ²	ts u ²
t w e n ¹	t w e n ¹
p æ ⁴	p æ ⁴
n o ŋ ¹	n o ŋ ¹
s r o ¹	s r o ¹
tɕ j æ n ¹	tɕ æ ŋ ¹
n j o n ²	ŋ j o ²
ɣ o ⁴	ɣ o ⁴
n ɛ ¹	n ɛ ¹
tʰ r i ⁴	tsʰ r i ¹
x e n ¹	x e n ¹
p i ³	b r i ³
kʰ o ⁴	kʰ o ⁴
s j e n ¹	s j e n ¹
m o ¹	m ɔ ¹
qʰ o ²	qʰ ɔ ²
ts r e ²	ts r e n ²
g ɯ ¹	g ɯ ¹
z i ³	z ɯ ³
g ɯ ¹	g ɯ ¹
tɕʰ i ¹	tɕʰ i ¹
ŋ w a ŋ ⁴	ŋ w a ⁴
d r ɯ̃ ¹	d r ɯ̃ ¹
tsʰ r e ²	tsʰ r e n ²
ts r e ¹	ts r e ŋ ¹
