kʰ i̠ ¹	kʰ i ¹
ˀn j a ²	ɲ a ²
k a ²	k a ²
n i ²	n i̠ ¹
s e ¹	s e ¹
ts o̠ ³	ʒ i̠ ³
a ²	a ¹
l y ³	l y ³
d a ŋ ²	d u ²
dz i ³	dz i ²
m i ¹	m ɨ ¹
k a̠ ²	k a̠ ³
dz i ¹	ˀn i ¹
a ¹	a ¹
d u ¹	d u ¹
a ¹	a ¹
g i ²	g u ²
m o ²	m u ²
a ¹	a ¹
kʰ ɨ ¹	kʰ i ¹
ŋ a ¹	ŋ a ¹
pʰ i ²	pʰ e ²
kʰ u ²	tʃ u ²
k a ²	k a ŋ ²
n i̠ ¹	n i̠ ¹
dz a ¹	ˀŋ y ¹
tsʰ y ¹	tsʰ y ¹
a ²	a ²
a ¹	a ¹
ɣ i ¹	ɣ i ¹
t a ¹	t a ⁵⁵
p e ¹	p e ¹
t e̠ ¹	t i̠ ¹
s a ²	s a ²
b u̠ ³	s i̠ ¹
x u ³	x a̠ ³
tʃʰ a ¹	ʃ a ¹
ts i ³	dʒ i ³
kʰ ɛ̠ ¹	kʰ a̠ ¹
ɣ i ¹	ɣ ɛ ¹
a ¹	a ¹
g u ²	g j u ²
ts i ¹	ɣ i ¹
d y ²	d y ²
s u ¹	s i ³
k a ³	k o̠ ¹
ˀl a ²	l a ²
h a ¹	h ɛ̠ ¹
s i̠ ³	s i̠ ³
n e̠ ³	ˀn e̠ ³
m ɛ ²	ˀm ɛ ²
kʰ i̠ ³	kʰ ɨ̠ ³
ˀn e ŋ ³	n i̠ ³
m ²	m o ²
l a ²	l a ²
ʃ ɛ ¹	ʃ ɛ ¹
ˀm i ¹	m i ¹
d u ³	d u ¹
kʰ ɛ ²	kʰ j ɛ ²
s y ¹	s y ¹
kʰ i ¹	kʰ i ¹
b e̠ ¹	ˀv e̠ ¹
ɣ a ³	ʃ a̠ ³
tʃʰ i̠ ³	tʃʰ e̠ ³
m e̠ ¹	m e̠ ³
dʒ a ŋ ¹	dʒ a ŋ ¹
t ɛ ³	f ɛ ³
z a ²	z a ²
ʒ u ²	ʒ i̠ ³
m e̠ ¹	ˀm j e̠ ¹
n a ²	n a ²
t a̠ ³	t a̠ ³
l ɛ ¹	l ɛ ¹
a ¹	a ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
ɣ i ¹	ɣ i ¹
ɣ i ¹	ʒ e ¹
tʃʰ e ¹	tʃʰ e ¹
