t a k a	t a k a
ɨ m a	ɨ m a
ts i ts ɨ	ts i ts i
h u p a n a	h u p a n a
k i n a	k a i n a
p e k i r i	p e k i r i
h u p a i	h u p a i
k u ts a	k u ts a
k u ts i	k u ts i
h i p e t ɨ	h i p e t ɨ
ts ɨ n a	ts ɨ n ɨ
j u k ɨ	j u k i
h a a h m ɨ n a	m ɨ n a
s i k a	s i k a
u m a r ɨ	k u m a r ɨ
n i k u r u k a	n i k u r u
m a k a r a	m a k a r a
a p e t a	k a p e t a
p a n a	p a n a
p ɨ n a	p ɨ n a
ɨ m ɨ k a	ɨ m a k a
ts ɨ r ɨ	t ɨ r ɨ
k e r ɨ	k e r ɨ
p ɨ r a	p ɨ r a
m a p a	m a p a
m a j u r ɨ	m a j u r ɨ
i ts u	s i t u
m u j u	m u j u
t u k a ts i	a t u k a ts i
ɨ r ɨ	h ɨ r ɨ
r ɨ	r ɨ
p a w a	p a w a
h a k ɨ	h a k ɨ
t i n ɨ	t e n ɨ
ts o m i	ts o m i
k ɨ p ɨ r ɨ	s ɨ p ɨ r ɨ
w a r a	w a r a
ts u k a	t u m a
p o	p o
ts e r ɨ	ts e r ɨ
e p ɨ r o	e p ɨ
k ɨ w ɨ	k ɨ w ɨ
p u t ɨ	p u t ɨ
a t u k ɨ r ɨ	a t u k ɨ r ɨ
ɨ n a	ɨ n a
n u	n u
h i w a k a	h ɨ w a k a
n a m a	n a m a
n a t u	n a t u
e t a	e t a
p i n i	p i n i
t u r u	t u r u
h u r ɨ	h a
r o	r o
a ts u k a	s a t u k a
t a r a	t a r a h a
k a ɨ r ɨ	k a s ɨ r ɨ
m u a	m u s a
k a a r ɨ	k a s i r i
p u r i	p u r i
k a n a w a	k a n a w a
m o s i	m ɨ s i
m e r i t i	m e r i t i
n a k ɨ	n a k ɨ
k e n ɨ	k e n ɨ
k ɨ k a r a	tʃ i k a r e
k ɨ n a k o	k e n a
ts i k u t ɨ	ts i k u t ɨ
h ɨ p n a	ɨ p ɨ n a
r ɨ	r ɨ
h i r i	k i r i
k ɨ w e j u r ɨ	s i w e j u r ɨ
k ɨ t o	s ɨ t i o
j u ts a	j u ts a
m e k a n i	m e k a n i
k a j a t ɨ	k a j a t ɨ
a p a	a p a
k a m a r a	k a m a r a
j a n a	j a n a
p u r u	p u r u
k a ts i t ɨ	k a ts i t ɨ
u p a r ɨ	k u p a r ɨ
e p ɨ r ɨ	e p ɨ
k a k ɨ t ɨ	k a k ɨ t ɨ
a h ɨ	t a k ɨ
k i k ɨ	s i
k e m a	k e m a
k a	k a
j e ts ɨ	j a ts i
m e k a n i	m e k a n i
k u t a r ɨ	s u t a r ɨ
k i m e k a	k i m e k a
k ɨ ts u	s ɨ t u
ts i	ts i
p u p e r ɨ	p u p e r i
p a r i k a r e	p a r i k a r e
p i k a	p i k a
p ɨ m a r ɨ	p ɨ m a r ɨ
h i r e k a	h i r e k a
ts u k a n a	t u k a n ə
k a	k a
k e m a	k e m a
k ɨ w a	s ɨ w a
p i t i	p i t i
p a r u	p a r u
h i n a	h i n a
p u k u	p u k u
k i t i	k i t i
h u m a	h u m a
m u ts u	m u t u
n a n ɨ	n a n i
h e p i	h e p i
n e n ɨ	n e n ɨ
j u ts u r o	j u t u r o
m a t a	m a t a
k a j u k ɨ r ɨ	k a j u k ɨ r ɨ
a ts i n u	k a ts i n u
k i p a	k i p a
a ts a r ɨ	k a ts a r ɨ
t a p a r ɨ	t a p a r i
m a p ɨ ts i r ɨ	m a p i ts i r i
a k ɨ r o	a k ɨ r o
i a p o t u	p o t u
s i m a	s i m a
m e k ɨ	m e k ɨ
p o t u	p o t u
h i t i t ɨ	h i t i t i
p ɨ a a n a	p ɨ t a h a n a
m a p a	m a p a
h ɨ n o r ɨ	h ɨ n o
ts o p a t a	ts o p a t a
o r o k a	e r o k a
k a m a ts i	k a m a
k a t a t u	k a t a t u
s i r i p i	s i
m a n a	m a n e
a w r ɨ	h ɨ w ɨ
n a k a	n a k a
h a p ɨ	h a p ɨ
r o	r o
h ɨ t ɨ	h ɨ t ɨ
h a m e	h a m e
ts e n o	t e n o
h e k u r u	h e k u r u
t a i	t a
h i m a k ɨ	h i m a k ɨ
p u r ɨ	p u r ɨ
k u t a	k u t a
n a n ɨ	n a n ɨ
ts a	ts a
k ɨ k i	k ɨ s i
h i ts u	h i ts u
a n i k a	a n i k a
k a ts u p a r ɨ	k a ts u p a r ɨ
j a k a	j a k a
h ɨ p u a	h ɨ p u
h a p ɨ k ɨ r ɨ	h a p ɨ k ɨ r ɨ
a k a p a	a k a p a
k a n ɨ	s a n ɨ
