ʔ r x	ʔ a r x
ɬ j b	ɬ j b
t i b n	t i b n
qˤ w qˤ n	qˤ qˤ n
r ʕ d	r a ʕ d
b t t	b t t
b a r m	b r m
ħ r ð w n	ħ r d
k a n a p	k a n a p
b r	b ɬˤ r
b a n a	p
n t n	n t n
sˤ a l l l	sˤ l
ʃ l l ʕ	ʃ
ʔ r b j j t	r b j
n qˤ b	n qˤ b
p ʔ t	p i ʔ a t
g i ʔ	g i ɬ ɬ
p r ɣ θ	p r ɣ θ
ʃ i n n	ʃ i n n
g ʕ	g ɬ ʕ
b a r sˤ	b r sˤ
p a l g	p a l g
ɬˤ n	ɬˤ a ʔ n
ɣ r n iː qˤ	ɣ r n iː qˤ
ɣ b tˤ	ɣ b tˤ
p r p r	p r p r
w a r x	w a r x
p r ʕ	p a r ɣ
x r sˤ	x a r uː sˤ
p a r	p a r r
z iː ð	z iː ð
n a p ʃ	n a p a
θ ʔ	θ a ʔ a t
ʃ l qˤ	ʃ l qˤ
p qˤ	p w qˤ
ɬ i j b t	ɬ a j b a t
ð i ʔ b	ð i ʔ b
ʔ m	tˤ m m
d a θ ʔ	d a θ ʔ
d r s	d r s
ʕ r p	ɣ a r p
ɬ j m	ɬ j m
d m ʕ	d m ʕ a t
j ʕ s b	ʕ s b
ɬ b t	ɬₓ b a j
m a θ n	θ j n
ɬˤ i l a ʕ	ɬˤ i l a ʕ
k a l b	k a l b
ʔ u r x	ʔ u r x
ʔ i θ	j θ w
ʃ ʃ m	ʔ m
w r w	w r j
s s	s aː
h d a d	h a d a d
b l l	b l l
ħ p ɬ	ħ p ɬ
b ʕ iː r	b ʕ r
ʔ k l	ʔ u k l
ɣ p p r	ɣ a p a r
ħ l	ħ a
m ɬ j	m ɬ
tˤ aː j j b	tˤ j b
j qˤ d	w qˤ d
p r r	p r r
g t	g d a t
n a sˤ	n a
θ uː m	θ uː m
r m	ɬ r m
r ħ a j	r i ħ a j
b r j	b r j
qˤ tˤ p	qˤ tˤ p
n i m r	n a m i r
b i n	b i n
a r ʔ	ʔ a r m
ʃ a m j	ʃ a m a j
i s r	n sˤ r
