r̥ e ¹¹	r e ¹¹
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
ˀd ə n ⁵⁵	ˀd w ɨ ɴ ⁵⁵
m i ɴ ⁵⁵	ˀm i n ⁵⁵
c i ¹¹	ɟ i ¹¹
kʰ a ŋ ¹¹	kʰ a ŋ ¹¹
m l ɔ ⁵⁵	m l ɔ ɴ ⁵⁵
tʰ u n ¹¹	tʰ u ɴ ¹¹
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
b l ei ⁵⁵	b l ei ⁵⁵
kʰ u k̚ ⁵¹	kʰ u k̚ ⁵¹
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
r̥ a ɴ ¹¹	r a ɴ ¹¹
p ə ¹¹	p ə ¹¹
s w a ʔ̚ ⁵¹	s w a ʔ̚ ⁵¹
cʰ ei ⁵⁵	cʰ ei ⁵⁵
kʰ w i ɴ ⁵¹	kʰ w i t ⁵¹
ˀd ei ⁵⁵	ˀd ei ⁵⁵
tʰ o ¹¹	tʰ o ¹¹
l o ⁵⁵	l̥ o ⁵⁵
k ə ʔ̚ ⁵⁵	k ə ⁰
s ə ɴ ¹¹	s w ɨ n ¹¹
m ə ¹¹	m ə ¹¹
ˀb ɔ ⁵⁵	ˀb ɔ ⁵⁵
h ou ¹¹	h ou ¹¹
tʰ ei ⁵⁵	tʰ ei ⁵⁵
p au ⁵⁵	j ə ⁰
kʰ w au ⁵⁵	kʰ w au ⁵⁵
tʰ w i ¹¹	tʰ w i ¹¹
tʰ w ə n ⁵⁵	tʰ w ɨ ɴ ⁵⁵
cʰ u ɴ ⁵⁵	cʰ u ɴ ⁵⁵
r̥ o ŋ ¹¹	r o ŋ ¹¹
l ei ⁵⁵	l ei ⁵⁵
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
m a ¹¹	m̥ a ¹¹
b i ¹¹	b i ¹¹
