g ɛ ¹	g ai ¹
m u u u	ˀt o ŋ ²
r i ⁴	ˀn i k ⁴
⁴ i ²	ˀr o ²
ˀn a ¹	ˀn a ¹
ŋ a ³	ŋ a ²
a i ŋ ¹	ˀr i ŋ ¹
⁴ u ⁴	ˀts u ²
t a ²	d a ŋ ²
⁴ a ʔ ¹	ts a m ¹
b j a p ⁴	ˀp j a t ⁴
t a ³	ˀt i ³
r o ¹	r o ¹
k r i ¹	ˀk j ai ³
a a k ³	ˀs a k ⁴
b r i ⁴	b j e ²
u ŋ ²	ʔ u ŋ ²
b j a ¹	b r ɛ ¹
m a n ³	m a n ³
b i ¹	b ui ¹
a a p ¹	d a p ⁴
u a u ¹	ŋ a n ¹
ŋ a ¹	ŋ a ¹
ˀn a p ⁴	ˀn a p ⁴
m j a ŋ ²	m j a ŋ ²
n a ŋ u	n i ŋ ²
j u k ⁴	ˀj i k ⁴
ˀk r i ⁴	g j e ¹
k o ²	k o ²
a a ⁴	ʃ a ¹
ˀk ˀj a ˀj u	ˀk j i ²
b a n ²	b a n ²
t i ŋ ³	ˀt i ŋ ³
ˀk a p ⁴	k a k ⁴
k j a ³	ˀk j u ³
k i ŋ ⁴	dz i ŋ ¹
j a ¹	j a ¹
k i p ⁴	tʃ a k ⁴
a u d ⁴	ˀts u t ⁴
u u ⁴	dz e ²
k a ⁴	n ai ¹
ŋ u ¹	ŋ u ¹
a a m ¹	s a m ¹
ŋ u ¹	ŋ ui ¹
s ɛ ³	s ɛ ³
s i g ⁴	s i k ⁴
j a k ⁴	m j a k ⁴
g i ³	g r e ²
i i ¹	n i ¹
tʃ i ³	tʃ i ²
ˀp a ²	ˀp a ²
a u ¹	tʃ i ¹
ˀs u ²	ˀs ui ²
ˀp j u ¹	ˀp r o ¹
k a k ⁴	ˀt a k ⁴
ˀk j a k ⁴	ˀk j a k ⁴
s u m ²	s u m ²
⁴ ai ³	ˀl ai ³
k j i k ⁴	k j i k ⁴
ˀk a k ⁴	ˀk a k ⁴
t a ŋ ²	t a ŋ ²
ˀŋ j a k ⁴	ŋ j a k ⁴
w a p ⁴	w a k ⁴
k j a b ¹	k r u p ⁴
j u m ¹	ˀj i m ¹
n a m u	n a m ²
g r u k ⁴	g r o k ⁴
k a ¹	k a m ¹
k ɛ ²	k ai ²
u a m ⁴	dʒ i m ¹
k a p ⁴	k a p ⁴
t u k ⁴	ˀt i k ⁴
⁴ a p ⁴	ˀtʃ a p ⁴
⁴ u ¹	ˀts ai ¹
j a m ¹	j a m ¹
n a ŋ ¹	n a ŋ ¹
g j a ²	g j a ²
k a a ¹	k a t ⁴
d u ŋ ¹	d u ŋ ¹
ˀp i ŋ ³	b i ŋ ³
⁴ u ²	ˀl i ²
ʃ a n ²	ʃ a n ²
b j i k ¹	b j i k ⁴
b r a ¹	b r a ¹
ˀp r u ¹	p r o ¹
m i ŋ ¹	m i ŋ ¹
⁴ a k ⁴	l a k ⁴
a ⁴ ¹	ʃ i ³
t a n ³	dz a n ²
g a ŋ ¹	g a m ¹
⁴ a ²	ts a ²
ŋ u ¹	ɲ u ¹
m a k ⁴	m a k ⁴
k i k ³	t i ŋ ³
⁴ a p ⁴	ˀl a p ⁴
ʔ j a ŋ ²	j a ŋ ²
k a b ⁴	ˀtʃ a t ⁴
k j a p ⁴	k j a p ⁴
k i ²	d ai ²
g u ²	ˀk ui ²
⁴ a k ¹	dʒ a k ⁴
t a b ⁴	d a t ⁴
k ¹ r a u	g r a ²
a ¹	ʃ a ŋ ¹
b i m ¹	b u m ¹
