a r r	ʔ a r r
j l	ʔ a θ a l
ɬ r m	ɬ r m
sˤ a r sˤ a r	sˤ a r sˤ a r
x	ɬ j x
n a m r	n a m i r
b a r qˤ	b a r a qˤ
b r qˤ	b r qˤ
sˤ a h r	θˤ a h r
k a r sˤ l l	qˤ r s
p a qˤ qˤ ʕ	p qˤ ʕ
ʕ a ɬ r	ʕ a ɬ r
ɬˤ n	ɬˤ a ʔ n
ħ d d	ħ d d
d a r d r	d a r d a r
x l ʃ	x l ʃ
p a r r	p a ʔ r
ʕ a m m	ʕ a m m
r g m	r g m
n a p j j	n p j
ʕ ɬ r aː m	ʕ i ɬ r uː
ħ m d	ħ m m
p a r r	p a r r
ʔ a b	ʔ a b
b b	g a b b
j a m iː n	j a m n
r d	w r d
k ʃ p	k s p
qˤ a n a t	qˤ i n n
m θˤ ʔ	m θˤ ʔ
b b t	ɬₓ b a j
ʕ n z	ʕ n z
sˤ b ɣ	sˤ b ɣ
ʃ l w	l w
ʔ tˤ m m	tˤ m m
h iː j	ʃ i
x tˤ tˤ	x tˤ tˤ
ħ b tˤ	ħ b tˤ
ʔ θ	j θ w
l a p ɬ	l p ʔ
n ɬ ʔ	n ɬ ʔ
j d	w d ʕ
m r ɬˤ	m r ɬˤ
ʃ a m n	ʃ a m n
ʔ a x t	ʔ a x aː t
sˤ a r m ɣ a t	sˤ r n ʕ a t
ʃ u r m	s u r m
r	qˤ r b
z a r z r	z a r z iː
b l l	b l l
z r	z w r
ʔ r x	ʔ a r x
ħ sˤ sˤ	ħ θˤ θˤ
k b ʃ	k b s
l a t	g l g l a t
ɬ n qˤ	ɬ n qˤ
m i r r a t	m r r a t
k b r	k b r
b l	b l
r a ʕ d	r a ʕ d
k a r i ɬ	k a r i ɬ
n a m r	n m r
n a h r	n a h r
z m r	z m r
ʔ a m r	ʔ i m m a r
d a m	d a m
ɬˤ i r ʃ	ɬˤ i r ʃ
z b uː l	z b l
t l	t l ʕ
r m	r ʔ m
b r ħ	b r ħ
p r m	p r m
p l ħ	p l ħ
qˤ i b a t	qˤ b a t
t b ʕ	t b ʕ
ʕ i ɬˤ	ʕ i ɬˤ
θ a p r	θ a p r
qˤ r d	qˤ r d
tˤ i ħ aː l	tˤ i ħ aː l
l ħ m	l ħ m
ɣ	ɣ θ j
l ʕ	ʃ
ħ a l	ħ
ħ p ʃ	ħ p ɬ
ħ i r d w n	ħ r d
r	ɬ r ɬ uː r
l a b n	l a b b
ʕ a r b	ʕ a
a l	θ l
qˤ qˤ a	qˤ a ʔ
d l w	d l w
r qˤ qˤ	r qˤ qˤ
b k j	b k j
ɣ a p	ɣ p
n h qˤ	n h qˤ
ʔ m m	ʔ i m m
b n j	b n j
z	gʷ a z
p a ħ m	p ħ m
d a θ a ʔ j j	d a θ ʔ
z iː ð	z iː ð
ʃ i n	θ i n aː
z i b l	z i b l
d i m t	d i m
m n a j	m n
x l sˤ	l x sˤ
d a m	ʔ d m
n b	n uː b
ʕ a θ	ʕ θ θ
ʕ a qˤ i b	ʕ a qˤ i b
ʃ m m	s m m
ɣ r n qˤ	ɣ r n iː qˤ
l i ʔ m	l ʔ m
b h l	b h l
b a r sˤ	b r sˤ
qˤ d m	qˤ d m
ʔ θ l	ʔ a θ l
l θ d	l a ʃ d
p r qˤ	p r qˤ
θ a d	ɬ a d a w
m x	ɬ m x
x a r p	x r p
ʔ	ʃ u m u
ħ w b	ħ u b b
p a r	p a r r
d r ʃ	d r s
ħ i m aː r	ħ i m aː r
d m ʕ	d m ʕ a t
n qˤ b	n qˤ b
m r n	ʔ n a r
