m i ¹	m e ¹
p æ ⁴	p æ ⁴
k ɯ ¹	k ɯ ¹
b a ⁴	b a ⁴
b o ²	p j o ²
m r æ ŋ ¹	m j æ ¹
d ɯ ³	d ɯ ⁵
w ⁴ a ⁴	ɕ w i ²
ʈ r u ¹	d r o ŋ ¹
q æ ⁵	q æ ⁵
b e ¹	b e ¹
d ɔ ŋ ¹	d o ŋ ¹
ŋ i ¹	dz i ¹
tʰ r æ ⁴	tʰ r æ ⁴
tɕʰ w e n ¹	tsʰ w e n ¹
s e n ⁵	s r o ⁴
dʑ j æ n ¹	tɕ æ ŋ ¹
qʰ o ²	qʰ ɔ ²
ŋ w e n ¹	ŋ w e n ¹
q a ŋ ¹	q a ŋ ¹
tɕʰ j e n ¹	tsʰ j e n ¹
j æ ⁴	j a ⁴
pʰ ɔ ³	pʰ ɔ ³
d w e n ¹	t w e n ¹
tsʰ r e ³	kʰ r o ³
j ɯ ⁴	j ɯ ⁴
n e ⁴	n e ⁴
dʑ r o ŋ ¹	d r o ŋ ¹
ŋ w e n ¹	ʔ w e n ¹
ts i ²	ts i ²
sʰ w a ŋ ³	sʰ w a ŋ ³
ts j i ²	tɕ ɯ ²
s j e n ¹	s j e n ¹
k o n ¹	ɣ o ŋ ¹
s e n ⁵	s e n ⁵
d æ n ¹	t æ ¹
s e ²	s r ɯ ²
ɖʐ u ŋ n ¹	ɖʐ u ŋ ¹
d e ⁴	χ ɯ ⁴
s i ⁴	s r i ⁴
b ⁴	p r i ⁴
sʰ æ ⁴	sʰ r æ ⁴
ŋ u e n ¹	ŋ w e n ¹
p ɯ ²	p ɯ ²
ts r i ²	ts r i ²
qʰ u ¹	qʰ u ¹
ʂ i ⁴	s ɔ ⁴
m e ²	m ə ²
n e ⁴	n ɛ ¹
j ⁴ ²	ŋ j o ²
q u ŋ ¹	q o ŋ ¹
p j e ³	pʰ j ɛ ³
x ɯ ²	χ ɯ̃ ²
m æ ŋ ²	m æ ²
n u e ⁴	b j ɛ ⁴
d ⁴ a ⁴	d w a ⁴
b ¹ i ²	kʰ w ɛ ²
s w a n ¹	s w a ŋ ¹
tʰ r o ⁴	tʰ r o ⁴
ʁ ɔ ¹	l ɔ ¹
ʁ w e n ¹	ʔ w e n ¹
b ɯ ¹	b r i ¹
w ⁴ ⁴	ɣ o ⁴
m i ³	m i ¹
q æ ¹	ɣ æ ¹
tʰ r æ n ¹	tʰ æ n ¹
ɕ u u	ɕ w i ²
b ɯ ¹	b ɯ ¹
q ɛ ¹	q ɛ ¹
ɣ u ⁵	g o ŋ ³
ŋ ɔ ɔ ɔ ¹	p r e n ¹
d e	t ɛ ⁴
b ɔ ¹	b ã ¹
p j e ²	p j ɛ ²
b i ¹	p r i ¹
w o ⁴	ɣ ɔ ¹
s ɔ ⁴	sʰ o ⁴
w j u ŋ ⁴	ŋ j o ŋ ⁴
dʑ o ŋ ¹	dz o ŋ ¹
k u ŋ ⁵	k o ⁵
b r æ ⁴	pʰ r a ⁴
ʁ ɔ ¹	l ɔ ¹
tʰ r o ⁴	tʰ r o ⁴
g ɔ ¹	g ɔ ¹
d ⁴ ⁴ ¹	x w a ¹
q æ n ¹	q æ n ¹
m ɯ ŋ ⁴	m ɯ ⁴
ʁ ɔ ŋ ³	h a ŋ ⁵
ʈ s ɔ ⁴	ʈ o ⁴
ʈ r ɯ ²	ʈ ɯ ²
sʰ r o ŋ ¹	s o ŋ ¹
n ɔ n ³	n ɔ ³
m a ⁴	m a ⁴
ɖʐ u ŋ ³	ɖʐ o ³
