d ɛ ⁴	d ɛ ⁴
ɣ ɯ ³	ɣ ɯ ³
m ɯ ⁴	m ɯ ⁴
n u ŋ ¹	n o ŋ ³
ŋ w a ⁴	ŋ w a ⁴
qʰ w æ ¹	qʰ w æ ¹
d r o ŋ ¹	d r o ŋ ¹
n u ¹	n j o ŋ ¹
m ɔ ¹	m ɔ ¹
ts r i ²	ts r i ²
ɖʐ u ŋ ŋ ²	ɖʐ u ŋ ²
d r ɯ ³	d r ɯ ³
s e n ⁵	s e n ⁵
m æ ⁵	m æ ⁵
sʰ ɛ ⁴	sʰ ɛ ⁴
m ɯ ŋ ¹	m ɯ ¹
s r e ¹	s r e ŋ ¹
ŋ j e n ²	n j e n ¹
b j o ²	b j ɛ ²
s r u ¹	s r u ¹
ɖʐ i ⁴	ɖʐ i ⁴
ɖʐ w e n ⁵	ɖʐ w e n ⁵
b e ¹	b e ¹
s r o ¹	s r o ¹
dz o ŋ ¹	dz o ŋ ¹
p r ɔ ¹	p r ɔ ¹
ɕ i ⁴	ɕ i ⁴
m o ⁴	m ɔ ⁴
b ɛ ⁴	b ɛ ⁴
p ɛ ¹	p e ¹
h ɔ ¹	h ɔ ¹
q w ɛ ⁵	q w ɛ ³
s r e ¹	s r ɯ ²
m æ ²	m æ ²
t w e n ¹	t w e n ¹
s e n ⁵	s e n ⁵
q ɯ ²	ɣ ɯ̃ ²
ɖʐ u ⁴	ɖʐ u ŋ ⁴
ŋ ɯ ¹	ŋ ɯ ¹
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
ŋ j e n ²	n j e n ¹
j o ŋ ²	n j o ²
tʰ r o ŋ ¹	tʰ r o ŋ ¹
m r æ ŋ ¹	m j æ ¹
qʰ o ⁴	qʰ ɔ ⁴
j o ⁵	j ɔ ⁵
