ˀk ai ¹	g ai ¹
ˀk u u ¹	ˀt o ŋ ²
ʔ r a ⁴	ˀn i k ⁴
ˀk a ²	ˀr o ²
ˀn a ¹	ˀn a ¹
ŋ a ³	ŋ a ²
ˀk i ŋ ¹	ˀr i ŋ ¹
ˀk u ⁴	ˀts u ²
k a ²	d a ŋ ²
ˀk a m ⁴	ts a m ¹
b j a p ⁴	ˀp j a t ⁴
t u ³	ˀt i ³
a o ¹	r o ¹
k r i ¹	ˀk j ai ³
a a k ³	ˀs a k ⁴
b r i ⁴	b j e ²
u ŋ ²	ʔ u ŋ ²
b j a ¹	b r ɛ ¹
m a n ³	m a n ³
b i ¹	b ui ¹
ˀk ai p ⁴	d a p ⁴
ˀk a u ⁴	ŋ a n ¹
ŋ a ¹	ŋ a ¹
ʔ ˀn a p ⁴	ˀn a p ⁴
m j a ŋ ²	m j a ŋ ²
n a ŋ ⁴	n i ŋ ²
ʔ j u k ⁴	ˀj i k ⁴
ˀk r i ⁴	g j e ¹
k o ²	k o ²
a a ⁴	ʃ a ¹
ˀk j a ŋ ¹	ˀk j i ²
b a n ²	b a n ²
t u ŋ ³	ˀt i ŋ ³
k a p ⁴	k a k ⁴
ˀk j k ³	ˀk j u ³
m j i ŋ ¹	dz i ŋ ¹
j a ¹	j a ¹
ˀk i p ⁴	tʃ a k ⁴
ˀk u d ⁴	ˀts u t ⁴
ˀk u ²	dz e ²
k a ⁴	n ai ¹
ŋ u ¹	ŋ u ¹
ˀk a m ¹	s a m ¹
ŋ u ¹	ŋ ui ¹
s a ³	s ɛ ³
s i k ⁴	s i k ⁴
j a k ⁴	m j a k ⁴
g i ³	g r e ²
m i ¹	n i ¹
tʃ i k ³	tʃ i ²
ˀp a ²	ˀp a ²
ˀk u ¹	tʃ i ¹
ˀs u ²	ˀs ui ²
ˀp j u ¹	ˀp r o ¹
ˀk a k ⁴	ˀt a k ⁴
ˀk j a k ⁴	ˀk j a k ⁴
a u m ²	s u m ²
ˀk ai ³	ˀl ai ³
k j i k ⁴	k j i k ⁴
ˀk a k ⁴	ˀk a k ⁴
t a ŋ ²	t a ŋ ²
ˀŋ j a k ⁴	ŋ j a k ⁴
w a p ⁴	w a k ⁴
k j a b ¹	k r u p ⁴
j u n ¹	ˀj i m ¹
n a m ¹	n a m ²
g r u k ⁴	g r o k ⁴
k a ⁴	k a m ¹
k ai ²	k ai ²
ˀk a m ⁴	dʒ i m ¹
k ai p ⁴	k a p ⁴
ˀk u k ⁴	ˀt i k ⁴
ˀk a p ⁴	ˀtʃ a p ⁴
ˀk u ¹	ˀts ai ¹
j a m ¹	j a m ¹
n a ŋ ¹	n a ŋ ¹
g j a ²	g j a ²
ˀk a m ¹	k a t ⁴
d u ŋ ¹	d u ŋ ¹
ˀp i ŋ ³	b i ŋ ³
ˀk u ²	ˀl i ²
a a n ²	ʃ a n ²
b j i k ⁴	b j i k ⁴
b r a ¹	b r a ¹
ˀp r u ¹	p r o ¹
m i ŋ ¹	m i ŋ ¹
ˀk a k ⁴	l a k ⁴
a i ¹	ʃ i ³
ˀk a n ³	dz a n ²
ˀk a ŋ ¹	g a m ¹
ˀk a ²	ts a ²
ŋ u ¹	ɲ u ¹
m a k ⁴	m a k ⁴
ˀk i i ⁴	t i ŋ ³
ˀk a p ⁴	ˀl a p ⁴
ʔ j a ŋ ²	j a ŋ ²
ˀk a t ⁴	ˀtʃ a t ⁴
