tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
b e ŋ ⁵⁵	b e ŋ ⁵⁵
ˀd a ⁵⁵	ˀd a ⁵⁵
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
t ə ʔ̚ ⁰	t ə ʔ̚ ⁰
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
p o ¹¹	b o ¹¹
ʔ a m ¹¹	ʔ a m ¹¹
k ə ʔ̚ ⁵¹	k ə ʔ̚ ⁵¹
b r e ⁵⁵	b r e ⁵⁵
d e ⁵⁵	d e ɴ ⁵⁵
p l a ⁵⁵	p l a ⁵⁵
n o k̚ ⁵¹	n o k̚ ⁵¹
m ɨ ¹¹	m ɨ ¹¹
p ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
m ə ¹¹	m ə ¹¹
k a ⁰	k ə ʔ̚ ⁰
n a ¹¹	n a ¹¹
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
tʰ u ¹¹	tʰ u ¹¹
j o ʔ̚ ⁵¹	j o ʔ̚ ⁵¹
ʔ̚ w i ¹¹	ʔ w i ¹¹
ɲ̊ a ⁵⁵	ŋ̊ a ⁵⁵
tʰ a ¹¹	tʰ a ¹¹
ʔ u ⁵⁵	ʔ u ⁵⁵
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
l o ʔ ⁰	l a ʔ̚ ³³
cʰ a ⁵⁵	cʰ a ⁵⁵
ˀd e ⁵⁵	ˀd e ⁵⁵
l i ɴ ¹¹	l i n ¹¹
cʰ j a n ¹¹	cʰ j a ɴ ¹¹
ʔ e ¹¹	ʔ e ¹¹
s ə ⁵⁵	s ə ⁰
d ə ŋ ¹¹	d ə ŋ ¹¹
l a ⁵⁵	ˀl a ⁵⁵
l̥ w ɛ ⁵⁵	l w ɛ ⁵⁵
