m w z n	w z n
k s	k s
ʃ ʃ m	ʃ u m ʃ u m
g d d	g d d
r ʔ m	r i ʔ m
ʔ b b l	ʔ b b l
d a θ a ʔ w	d a θ ʔ
ɬˤ ʔ j a ʔ	w ɬ ʔ̣
ɣ m d	ɣ m d
ɬₓ m a	ɬₓ m a t
	ʃ u
d r	d a w r
t i l l	t l l
b r r	b r r
	ʔ a j a sˤ
j a r x	w a r x
r a w w	r a ʔ
l i b b	l i b b
l ʔ m	l ʔ m
ʃ a g	ʃ g ʕ
	ʃ a
ʔ k l	ʔ k l
r	r aː ħ a t
qˤ w qˤ n	qˤ qˤ n
ħ a r a p	ħ a r a p
ʔ r b j j a t	r b j
x r sˤ	x a r uː sˤ
k s k ʔ	k a
k ʃ	k
l b ʃ	l b ʃ
qˤ a d m	qˤ d m
m ʃ j	m u ʃ j
k sˤ d	qˤ sˤ d
qˤ r d	qˤ r d
ʔ a r a m	ɬ r m
j	g uː g
sˤ a w r	sˤ a w a r
ʔ a t	x a m
g r d	g r d
b tˤ l	b tˤ l
l x m	l x m
a l a	x aː l a t
s n b	s i
l w j	l w j
m u x x	m u x x
p qˤ d	p qˤ d
ʔ d a m	ʔ d m
k a l	k a l
z m r	z m r
j qˤ d	w qˤ d
ʔ b	ʔ w j
ʃ l iː	ʃ i l j a t
a w	tˤ a ɣ
r b k	r b k
l ɣ	l ɣ
b θˤ r	b n θˤ u r
b a r m	b r m
ʔ	ʔ x ð
n a sˤ sˤ a	n a
m a l i	m l ʔ
θ a m aː n	θ a m aː n i j
b ʃ l	b ʃ l
ħ l j	ħ a
ʔ a t i n	ʔ a n t i n a
n r	n w r
ɬ d	ɬ a d a w
p r sˤ	p r ɬˤ
b	b ʔ
ʕ n	θˤ ʕ n
m r r a t	m r r a t
ʃ i k a r	ʃ i k a r
ʕ i qˤ	ʕ i d qˤ
b n	b a j n
ħ u tˤ t	ħ i n tˤ a t
b ʕ iː r	b ʕ r
a ʔ n	ɬˤ a ʔ n
a r θ	k a r a θ
ħ m a	ħ m m
ɣ r n	ɣ r n
ħ b tˤ	ħ b tˤ
t l ʕ	t l ʕ
a r r	ʔ a r r
p r m	p r m
t l	t a w l i ʕ a t
ʔ a t	ʔ a j a t
n b	n aː b
ħ a s iː s	ħ a s iː s
n n	ʔ n j
ħ θˤ w	ħ θˤ θˤ
b a ʕ l t	b ʕ l
n qˤ	ɬ n qˤ
ʔ a j j a l	ʔ a j j a l
ʃ tˤ r	ʃ tˤ r
ħ i b r	ħ b r
s s	s aː
ð u b b	ð b b
n p	ʔ a n a p a t
ʃ i ʃ	ʃ i d θ
ħ r ʃ	x r ʃ
z n	ð n m
n	n
ʃ a tˤ	ʃ qˤ tˤ
x i l p a	x i l aː p
ʔ a x	ʔ a x
p r qˤ	p r qˤ
ʕ a a p a r	ʕ a p a r
r b	ʕ a
ʃ a l w	l w
ʃ l w	ʃ l k
n a ħ l	n ħ l
p	p a j
ʔ a w r	ʕ a r w
ʃ p l	ʃ p l
ʔ a m ʃ l	ʔ a m ʃ a j
b l	b qˤ l
a r	ʔ a r m
t i ʃ ʕ	t i ʃ ʕ
a b b	g a b b
k a w s l	k s l
ʔ a m a t	ʔ a m a t
l	p l k
tˤ iː n	tˤ iː n
x l ʃ	x l ʃ
ħ a b l	ħ a b l
d a j d	d d
b a t l	b a t uː l
ʔ a n t a	ʔ a n t a
ɬ u r b n	θ r m iː n
j a r	w
g b b x	g b x
n ɣ a r	n ɣ r
p a ʔ r t	p a ʔ r
p a ħ m	p ħ m
m r sˤ	m r ɬˤ
d d a	d aː d a t
qˤ a l	qˤ a l b
g l p a t	g l p a t
h w j	h w j
p a x r	p x r
p tˤ r	p tˤ r
m j j	m ɬ
b k r	b k r
n ʃ	n ʃ
ʕ a m d	ʕ m d
ʕ r	θ ɣ r
w a r iː d	w a r iː d
ʕ a z j a	ʕ z
b a h a qˤ	b h qˤ
l a θ a ɣ	l a θ a ɣ
b j t	b j t
n i m r	n a m i r
ʃ a p l	ʃ a p uː
l qˤ	l qˤ ħ
ħ m sˤ	ħ m ɬˤ
k a t a p	k a t i p
p sˤ d	p sˤ d
p a r ʔ	p a r ʔ
j ʃ r	j ʃ r
ʕ u n qˤ	ʕ n qˤ
ʔ a m m t	ʔ a m m a t
ʃ i n n	ʃ i n n
tˤ m	tˤ m m
ʃ ʔ r	ʃ i ʔ r
t a j ʃ	t a j ʃ
n qˤ	j n qˤ
l ɣ	l u ɣ
x n z w t	x n z z
d w m	d w m
d j n	d j n
ɣ u r i b	ɣ aː r i b
p t l	p t l
r p	ɣ a r p
x j l	x j l
k i ʃ d	k i ʃ aː d
sˤ i l a ʕ a	ɬˤ i l a ʕ
l a j l t	l a j l i j
ɬ j b	ɬ j b
ʔ a l p	ʔ a l p
n x l	n x l
r a qˤ	r a qˤ qˤ
ɬ a h r	ɬ a h r
θ qˤ l	θ qˤ l
qˤ d ʃ	qˤ d ʃ
r ʔ m	r ʔ m
w g m	w
x tˤ a m	x u tˤ m
tˤ b x	tˤ b ħ
ʔ d m	ʔ t m
ɬ a ʕ r t	ɬ a ʕ r
ʔ	ʔ iː
w b i l a w	w aː b i l
p r	p r ʕ
ʕ a qˤ i b	ʕ a qˤ i b
sˤ a r n ʕ a t	sˤ r n ʕ a t
θ ʔ w	θ a ʔ a t
a ʃ j	ʔ a θ a l
g r n	g u r n
h u m	ʃ u m u
a a w a	ð
p r	p a r r
ɬ m m	ʃ
w k l	w k l
ʔ a b	ʔ a b
h w w m	h m
k a k k a b	k a b k a b
g r r	g r r
θˤ u p r	θˤ i p r
ʃ m	w ʃ m
ð m r	ð m r
n b	n uː b
ʃ t j	ʃ t j
p a r	p a r r
ð i k a r	ð a k a r
m m	g a m g a m
d a ʔ j a w	d a ʔ j
ʕ i ɬ r	ʕ i ɬ r uː
qˤ	qˤ aː ʕ
ʔ a p	ʔ a n p
k	k
ħ a m	ħ a m
b l j	b l j
ɬ b r	ɬ b r
x r ʃ	x r ʃ
p l ʃ	p l ʃ
ɣ ʃ	ʕ a w
ɬ l x	ʃ l ħ
ʃ i n a t	ʃ i n a t
ʃ ʔ b	ʃ ʔ b
ħ i m aː r	ħ i m aː r
r a m	r m
b a n t	b i n t
ʃ b l	ʔ b l
k a a l t	k a p l
n	ʃ m
n n	n t n
b r ħ	b r ħ
t b ʕ	t b ʕ
ʕ a a r ʕ a a r	ʕ a r ʕ a r
ʕ a l j	ʕ l j
