b t	b w θ
b l	b qˤ l
ʔ a s	ʔ a
θ qˤ j	ʃ qˤ j
ɣ r n n	ɣ r n
ʃ i n a t	ʃ i n a t
m n j	m n j
t a r	t r r
θˤ l m	θˤ l m
s k r	s k r
z b b	ð b b
k s k	k a
b a j t a	p
ð r ʔ	ð a r ʔ
ʔ i l	ʔ a θ l
ʔ a m a l a t	ʔ a l m a n a t
qˤ b r	qˤ b r
ʕ r r	ʕ u
ʔ u ð n	ʔ u ð n
ħ a s i s	ħ a s iː s
l p	l p ʔ
ʕ i θˤ sˤ	ʕ θˤ aː j
ʃ l x	ʃ l ħ
ʕ a p a r	ʕ a p a r
r ʃ ʕ	r ʃ ʕ
d d	h a d a d
d aː d	d aː d
p a r θ	p a r θ
g u m u	k m d
n ʃ	n ʃ
n x l	n x l
m r n	ʔ n a r
m r r	m r r
g l g a t	g l g l a t
ʔ a r	ʔ r aː w
r b k	r b k
w ʃ n	w ʃ n
d k ʃ	d g ʃ
n h qˤ	n h qˤ
ð u b b	ð b b
z a	z a p p
qˤ j ʔ	qˤ j
l ħ t	l ħ j a t
ʕ a l qˤ	ʕ a l a
sˤ a r ʕ	ɬˤ r ʕ
ħ a m tˤ tˤ	ħ m tˤ
ʕ b qˤ n	ʕ a b a qˤ
θˤ i l l	θˤ i l l
ʔ x ð	ʔ x ð
p r p a r	p r p r
ʃ ʔ l	ʃ ʔ l
ħ l	ħ l p
n a p i ʃ	n a p a
g b	g b
ħ m aː r	ħ i m aː r
n p ʃ	n a p ʃ
θ a	ɬ a j p
ʔ b b ʕ	b ʕ b ʕ
b r qˤ	b r qˤ
ʔ a θ a r	ʔ a θ a r
s n b ʔ	s i
z b l	z b l
p qˤ d	p qˤ d
l u ɣ	l ɣ
w a r i k	w a r i k
ʕ a r p	ɣ a r p
sˤ ɣ r	sˤ ɣ r
b sˤ r	b n θˤ u r
l a h b	l a h b
m j j	m a j
b i n t	b i n t
θ n j	θ i n aː
n a sˤ a	n aː sˤ i j a t
θ a r ʃ	ɬ r ʃ
ħ m r	ħ m r
ʔ a p a j	ʔ p j
l b n	l a b b
ʔ a r m	ʔ a r m
b ʃ l	b ʃ l
m ʔ aː n	ɬ a ʔ n
ʃ tˤ	ʃ qˤ tˤ
	gʷ a z
ʃ a ħ a r	ʃ a ħ r
b u l l	b l
d h p	d ħ p
s n n t	s n uː n a t
p a	x ɬ p
ʃ p l	ʃ p l
ʃ t j	ʃ t j
b n	b a j n
n a p ʃ	n p ʃ
p a r	p a r r
g p p	g a p p
ʔ n n	h a n n i
θ ɬ r	w ɬ r
p r m	p r m
ʃ tˤ r	ʃ tˤ r
ʔ r x	ʔ u r x
p r r	p a ʔ r
ħ m n t	ħ m m
h l k	h l k
ʃ m m	ʃ
b r aː ʃ	b u r aː θ
d a m	d a m
d ʃ	d w ʃ
ʃ ʔ b	ʃ ʔ b
θ a m ʃ	ɬ a m ʃ
b a ʕ l	b a ʕ l
ʔ i	ʔ i t
ɬˤ i l a ʕ	ɬˤ i l a ʕ
t i ʃ ʕ	t i ʃ ʕ
d i m ʕ	d m ʕ a t
ʃ l ħ p	ʃ a l a ħ p a w
ħ u p n	ħ u p n
x i l p	x i l aː p
ʔ a n	ʔ a n aː k u
ħ ɬ	ħ a ɬ j
w b l	w b l
ʔ b r	ʔ b r
θ m	θ uː m
ʔ a θ n	θ j n
ʔ a t a	ʔ a n t a
ʔ ʃ	j θ w
s x tˤ	s ħ
θˤ a b j	θˤ a b j
b t t	b t t
tˤ b x	tˤ b ħ
x l sˤ	l x sˤ
ɬˤ n	ɬˤ a ʔ n
ʕ a l	ʕ a l a j
b a qˤ qˤ	b a qˤ qˤ
ɣ r n iː qˤ	ɣ r n iː qˤ
d n	d j n
l	ʔ a θ a l
ʃ a m j j	ʃ a m a j
n m ɬ	m ɬ
b a sˤ sˤ	b ɬˤ ɬˤ
p a r	p a r ʔ
m x x	m u x x
k d	k i ʃ aː d
ɬ a p a t	ɬ p
k a k a b	k a b k a b
n ɣ r	n ɣ r
ħ l	ħ
ʃ a g ʕ	ʃ g ʕ
r k b	r k b
qˤ d m	qˤ d m
d m	d w m
ʔ r ʃ	ʔ r ʃ
w a r qˤ	w r qˤ
b u tˤ m	b u tˤ m
r qˤ qˤ	r qˤ qˤ
d l w	d l w
ɣ p	ɣ p
k r	k i
n x r	n a x iː r
k r ʕ	k u r aː ʕ
θˤ a r	θˤ a h r
s k t	ʃ k t
ɣ	ɣ θ j
k m r	k m r
i r ʃ	ɬˤ i r ʃ
ɣ ʃ	ʕ a w
ħ r ɬ p n	ħ a r a p
x a m ʃ	x a m ʃ
n a p j	n p j
b i l j	b l
qˤ qˤ a	qˤ a ʔ
ʔ i r	ʔ tˤ r
u u m	m s
k i p p a	k p
ʔ m r	ʔ m r
ʕ a d	ʕ a d a j
p i r ʕ	p a r ɣ
ɣ p r	ɣ p r
p l ʃ	p l ʃ
d i b r	d a
t l ʕ	t l ʕ
ħ i tˤ tˤ t	ħ i n tˤ a t
ʕ ʃ	ʕ m s
ʃ	ʃ a
θ a l g	θ a l g
ʔ d r	h d r
ʃ b a l t	ʃ u b u l a t
ʔ a t u	ʔ a n t u m u
ɬ i m aː l	ɬ a m ʔ aː l
n t n	n t n
ʃ l w	l w
r ħ ɬˤ	r ħ ɬˤ
qˤ r d	qˤ r d
ʃ i n n	ʃ i n n
g b b	g a b b
ʔ s l	θ l
l qˤ	l qˤ ħ
d a l	d a l w
n ɬ ʔ	n ɬ ʔ
l qˤ l qˤ	l a qˤ l a qˤ
