ˀb a ⁵⁵	ˀb a ⁵⁵
k l a ⁵⁵	k l a ⁵⁵
ˀd ou ¹¹	ˀd ə ŋ ¹¹
p l a ⁵⁵	p l a ⁵⁵
n̥ ei ⁵⁵	n ei ⁵⁵
d ə ŋ ¹¹	d ə ŋ ¹¹
j a m ¹¹	j a m ¹¹
b l ei ⁵⁵	b l ei ⁵⁵
p ə ¹¹	p ə ¹¹
kʰ i ŋ ⁵⁵	kʰ i ŋ ⁵⁵
kʰ a ʔ̚ ⁵¹	kʰ a ʔ̚ ⁵¹
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
tʰ w a ŋ ¹¹	tʰ w a ɴ ¹¹
p r u ⁵⁵	p r u ⁵⁵
kʰ a ¹¹	kʰ a ¹¹
g ə ⁰	g ə ⁰
k ə ⁰ ə	k o t ⁵⁵
m̥ ei ⁵⁵	m̥ ei ⁵⁵
kʰ j o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
tʰ u ¹¹	tʰ u ¹¹
kʰ l o ¹¹	kʰ l o ¹¹
m e ¹¹	m̥ e ¹¹
b e ŋ ⁵⁵	b e ŋ ⁵⁵
j ou ¹¹	j ou ¹¹
n u ¹¹	n u ¹¹
kʰ l e ⁵⁵	kʰ l i ⁵⁵
tʰ a ⁵⁵	tʰ a ⁵⁵
ˀd a ¹¹	ˀd ɛ ¹¹
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
n w ɛ ɴ ⁵⁵	ˀn w e t̚ ⁵¹
tʰ ə ¹¹	tʰ ə ¹¹
kʰ r r a ¹¹	g r a ¹¹
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
ˀd a ⁵⁵	ˀd ɛ ⁵⁵
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
l ə ə ⁰	l a ʔ̚ ³³
