p l ʊ w j ɔ s ʊ m	p l ʊ w j oː s ʊ m
k oː n ʊ m	k oː n ʊ m
m ɔ l ɛ k ʊ l a m	m oː l ɛ k ʊ l a m
eː r ɛ d ɛ	h eː r eː d ɛ m
p l a g ɛ r ɛ	p l a ŋ g ɛ r ɛ
ɪ n s t r ʊ ɪ r ɛ	iː n s t r ʊ ɛ r ɛ
b ʊ r ʊ m	b uː t y r ʊ m
ɪ t ɛ r aː t j oː n ɛ m	ɪ t ɛ r aː t j oː n ɛ m
f ʊ l w ʊ m	f ʊ l w ʊ m
a l aː b a s t r ʊ m	a l a b a s t r ʊ m
p l aː m aː r ɛ	p l a s m aː r ɛ
k ɔ ŋ n oː m ɛ m n	k oː ŋ n oː m ɛ n
w ɛ t ʊ s t ʊ m	w ɛ t ʊ s t ʊ m
ɛ k s k ɔ r j aː r ɛ	ɛ k s k ɔ r j aː r ɛ
a pː l aʊ s ʊ m	a pː l aʊ s ʊ m
a kː uː s a t oː r ɛ	a kː uː s aː t oː r ɛ m
f aː m oː s ʊ m	f aː m oː s ʊ m
k ɔ m ɪ n ʊ m	k ʊ m iː n ʊ m
k ʊ k ʊ m	k ɔ kʷ ʊ m
f uː g aː k ɛ	f ʊ g aː k ɛ m
k ɔ n k ɛ r n ɛ r ɛ	k ɔ ŋ k ɛ r n ɛ r ɛ
t ʊ n ɛ m k ɛ r ɛ	t ʊ n d ɛ r ɛ
g aː n ɪ r ɛ	g a nː iː r ɛ
m ɛ s t ɛ r ɛ	m ɪ n ɪ s t ɛ r j ʊ m
s ɔ lː ɪ k ɪ t aː t j oː n ɛ m	s ɔ lː ɪ k ɪ t aː t j oː n ɛ m
b aː r ɪ t oː n ʊ m	b a r y t ɔ n ʊ m
k ɔ ŋ g r ɛ g aː r ɛ	k ɔ ŋ g r ɛ g aː r ɛ
t aː b ʊ m l a m	t a b ʊ l a m
ɪ n s ɛ r ɪ r ɛ	iː n s ɛ r ɛ r ɛ
f r ɔ n t oː n ɛ m	f r ɔ n t oː n ɛ m
w eː l aː r ɛ	w eː l aː r ɛ
p r ɔ d ɪ g oː s ʊ m	p r oː d ɪ g j oː s ʊ m
m ʊ l t aː r ɛ	m ʊ l t aː r ɛ
s p ʊ r k aː r ɛ	s p ʊ r k aː r ɛ
k ɔ n t ɛ n d ɛ r ɛ	k ɔ n t ɛ n d ɛ r ɛ
ɪ n s ɔ l ɪ t ʊ m	iː n s ɔ l ɪ t ʊ m
r ʊ t j ʊ m	r oː s k ɪ d ʊ m
t r a n s ɪ r ɛ	t r aː n s iː r ɛ
f r ɪ ɪ g ɪ d aː t ɛ m	f r iː g ɪ d ɪ t aː t ɛ m
ɪ l ɛ	ɪ l ɛ m
b r aː k ɛ s	b r aː k aː s
n ɛ b l ʊ m a m	n ɛ b ʊ l a m
p ɔ r t aː r ɛ	p ɔ r t aː r ɛ
p r ɔ w ɔ k aː t oː r ɛ	p r oː w ɔ k aː t oː r ɛ m
ɔ r b ɛ m	ɔ r b ɛ m
f aː s t ɪ d j oː s ʊ m	f a s t iː d j oː s ʊ m
n ʊ n t j ʊ m	n uː n t j ʊ m
n a t aː r ɛ	n a t aː r ɛ
a t r ɪ b ʊ t j oː n ɛ m	a tː r ɪ b uː t j oː n ɛ m
t ɛ n ɛ	t ɛ n ʊ ɛ m
ɛ b aː n ʊ m	h ɛ b ɛ n ʊ m
ɛ r ɔ g aː r ɛ	eː r ɔ g aː r ɛ
k r ɪ m ɪ n aː l ɛ	k r iː m ɪ n aː l ɛ m
b ʊ w aː r ʊ m	b ɔ w aː r j ʊ m
ɔ d ɛ r n ʊ m	h ɔ d ɪ ɛ r n ʊ m
r ɛ w ɛ d r ɛ	r ɛ w ɪ d eː r ɛ
t ɪ p uː l a m	t ɪ pː ʊ l a m
m ɛ t aː lː	m ɛ t a lː ʊ m
a b uː s ɪ w ʊ m	a b uː s iː w ʊ m
w ɛ ɛ m m ɛ n t ɛ m	w ɛ h ɛ m ɛ n t ɛ m
m aː r s ʊ p j ʊ m	m a r s uː p j ʊ m
k aː p ɪ t aː t j oː n ɛ m	k a p ɪ t aː t j oː n ɛ m
a t r ɪ b ʊ ɛ r ɛ	a tː r ɪ b ʊ ɛ r ɛ
ɛ k s p l aː n aː t j oː n ɛ m	ɛ k s p l aː n aː t j oː n ɛ m
a b s k ɪ s a m	a b s k ɪ n d ɛ r ɛ
l ɪ m aː k aː	l iː m aː k ɛ m
ɔ fː ɛ m r ɛ m k ɪ r ɪ	ɔ fː ɛ rː ɛ
w ɛ r t ɛ r ɛ	w ɛ r t ɛ r ɛ
uː r g ɛ r ɛ	ʊ r g eː r ɛ
ɪ m b ɛ k ɪ lː ɪ t aː t ɛ m	ɪ m b eː k ɪ lː ɪ t aː t ɛ m
aʊ k k j ɔ n ɛ	aʊ k t j oː n ɛ m
ɛ k s p l ɪ k aː t j oː n ɛ m	ɛ k s p l ɪ k aː t j oː n ɛ m
a s p ɛ k t aː r ɛ	a s p ɛ k t aː r ɛ
k f ɪ l ʊ l ʊ m	f iː l ɪ ɔ l ʊ m
ɛ kʷ aː n ɪ m ɪ t aː t ɛ m	aɪ kʷ a n ɪ m ɪ t aː t ɛ m
d ɪ s t r ʊ k k j oː n ɛ m	d eː s t r ʊ k t j oː n ɛ m
g ɔ n f j a m r ɛ	k oː n f l aː r ɛ
r ɛ f ɔ r m aː t j oː n ɛ	r ɛ f ɔ r m aː t j oː n ɛ m
p ʊ g ɪ l ɛ	p ʊ g ɪ l ɛ m
w aː lː ɛ t ʊ m	w a lː ɛ tː ʊ m
k ɔ n mː ɔ w ɛ r ɛ	k ɔ mː ɔ w eː r ɛ
m aː ŋ n ɪ t ʊ d ʊ m	m a ŋ n ɪ t uː d ɪ n ɛ m
k l aː r ɪ t aː t ɛ m	k l aː r ɪ t aː t ɛ m
aʊ d ɪ t j oː n ɛ	aʊ d iː t j oː n ɛ m
r ɛ s k ɪ n d ɛ r ɛ	r ɛ s k ɪ n d ɛ r ɛ
d uː k ɪ r ɛ	d uː k ɛ r ɛ
s ɛ r w ɪ l ɛ	s ɛ r w iː l ɛ m
r ɛ l ɪ k j a m	r ɛ l ɪ kʷ ʊ m
ɪ rː ʊ m p ɛ r ɛ	ɪ rː ʊ m p ɛ r ɛ
m ɛ n d ɪ k aː r ɛ	m ɛ n d iː k aː r ɛ
p r ɔ p ʊ ŋ n aː r ɛ	p r oː p ʊ ŋ n aː r ɛ
b ɛ n ɛ f ɪ k ʊ m	b ɛ n ɛ f ɪ k ʊ m
ɪ m p l ɔ r aː r ɛ	ɪ m p l oː r aː r ɛ
ɛ k s p ɛ n d ɛ r ɛ	ɛ k s p ɛ n d ɛ r ɛ
p r ɔ w ɔ k aː r ɛ	p r oː w ɔ k aː r ɛ
ɔ n ɔ r aː b ɪ l ɛ	h ɔ n oː r aː b ɪ l ɛ m
d ɛ k ɛ t ɔ r j ʊ m	d ɛ k ɛ p t oː r j ʊ m
p l aː n oː	p l aː n ʊ m
b aː n ʊ	b a l n ɛu m
a ʊ r aː t j oː n ɛ m	a d ɪ uː r aː t j oː n ɛ m
ɛ s t ɛ r n ʊ m	h ɛ s t ɛ r n ʊ m
k ɔ l ɔ r aː r ɛ	k ɔ l oː r aː r ɛ
ɔ p ʊ l ɛ n t ʊ m	ɔ p ʊ l ɛ n t ʊ m
n aː rː aː t j oː n	n aː rː aː t ʊ m
s ʊ s p ɪ r ʊ m	s ʊ s p ɪ r j ʊ m
n ɛ k sː ʊ m	n ɛ k s ʊ m
p aː l aː r ʊ m	p a l ɛ aː r j ʊ m
a m aː r ɪ t ʊ d ɪ m ɛ	a m aː r ɪ t uː d ɪ n ɛ m
d ɪ s t r aː k t j oː n ɛ m	d ɪ s t r a k t j oː n ɛ m
k oː r ʊ m	kʰ ɔ r ʊ m
m ʊ n ɪ t j oː n	m uː n iː t j oː n ɛ m
